排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,97587,32713.0,2026-05-06,SR2609,成交量,SR
2,东证期货,87955,14889.0,2026-05-06,SR2609,成交量,SR
3,国泰君安,57016,12315.0,2026-05-06,SR2609,成交量,SR
4,华闻期货,32053,8411.0,2026-05-06,SR2609,成交量,SR
5,华泰期货,31492,14681.0,2026-05-06,SR2609,成交量,SR
6,中粮期货,29029,18689.0,2026-05-06,SR2609,成交量,SR
7,广发期货,28156,3819.0,2026-05-06,SR2609,成交量,SR
8,招商期货,26659,13707.0,2026-05-06,SR2609,成交量,SR
9,银河期货,25338,4336.0,2026-05-06,SR2609,成交量,SR
10,国信期货,22165,6035.0,2026-05-06,SR2609,成交量,SR
11,光大期货,21260,5039.0,2026-05-06,SR2609,成交量,SR
12,中泰期货,19965,-2189.0,2026-05-06,SR2609,成交量,SR
13,瑞达期货,19472,8480.0,2026-05-06,SR2609,成交量,SR
14,海通期货,16154,-2358.0,2026-05-06,SR2609,成交量,SR
15,中信建投,15881,2760.0,2026-05-06,SR2609,成交量,SR
16,华金期货,15657,8531.0,2026-05-06,SR2609,成交量,SR
17,永安期货,13110,-100.0,2026-05-06,SR2609,成交量,SR
18,徽商期货,12086,1550.0,2026-05-06,SR2609,成交量,SR
19,方正中期,11389,1027.0,2026-05-06,SR2609,成交量,SR
20,中辉期货,10956,5054.0,2026-05-06,SR2609,成交量,SR
1,中信期货,102035,4448.0,2026-05-07,SR2609,成交量,SR
2,东证期货,99226,11271.0,2026-05-07,SR2609,成交量,SR
3,国泰君安,67436,10420.0,2026-05-07,SR2609,成交量,SR
4,华闻期货,37429,5376.0,2026-05-07,SR2609,成交量,SR
5,广发期货,33175,5019.0,2026-05-07,SR2609,成交量,SR
6,银河期货,31373,6035.0,2026-05-07,SR2609,成交量,SR
7,招商期货,30222,3563.0,2026-05-07,SR2609,成交量,SR
8,华泰期货,27329,-4163.0,2026-05-07,SR2609,成交量,SR
9,光大期货,25675,4415.0,2026-05-07,SR2609,成交量,SR
10,海通期货,25093,8939.0,2026-05-07,SR2609,成交量,SR
11,瑞达期货,21483,2011.0,2026-05-07,SR2609,成交量,SR
12,国信期货,20472,-1693.0,2026-05-07,SR2609,成交量,SR
13,中泰期货,18921,-1044.0,2026-05-07,SR2609,成交量,SR
14,中信建投,17717,1836.0,2026-05-07,SR2609,成交量,SR
15,中粮期货,17590,-11439.0,2026-05-07,SR2609,成交量,SR
16,徽商期货,16939,4853.0,2026-05-07,SR2609,成交量,SR
17,永安期货,15494,2384.0,2026-05-07,SR2609,成交量,SR
18,浙商期货,15353,5891.0,2026-05-07,SR2609,成交量,SR
19,华金期货,12467,-3190.0,2026-05-07,SR2609,成交量,SR
20,海证期货,11623,3052.0,2026-05-07,SR2609,成交量,SR
1,中信期货,123463,21428.0,2026-05-08,SR2609,成交量,SR
2,东证期货,99755,529.0,2026-05-08,SR2609,成交量,SR
3,国泰君安,86732,19296.0,2026-05-08,SR2609,成交量,SR
4,华闻期货,50273,12844.0,2026-05-08,SR2609,成交量,SR
5,广发期货,37651,4476.0,2026-05-08,SR2609,成交量,SR
6,银河期货,35729,4356.0,2026-05-08,SR2609,成交量,SR
7,招商期货,32081,1859.0,2026-05-08,SR2609,成交量,SR
8,华泰期货,31601,4272.0,2026-05-08,SR2609,成交量,SR
9,光大期货,25543,-132.0,2026-05-08,SR2609,成交量,SR
10,海通期货,25069,-24.0,2026-05-08,SR2609,成交量,SR
11,中信建投,23576,5859.0,2026-05-08,SR2609,成交量,SR
12,徽商期货,23342,6403.0,2026-05-08,SR2609,成交量,SR
13,瑞达期货,23187,1704.0,2026-05-08,SR2609,成交量,SR
14,中泰期货,22608,3687.0,2026-05-08,SR2609,成交量,SR
15,中粮期货,21041,3451.0,2026-05-08,SR2609,成交量,SR
16,浙商期货,20044,4691.0,2026-05-08,SR2609,成交量,SR
17,国信期货,18875,-1597.0,2026-05-08,SR2609,成交量,SR
18,永安期货,16657,1163.0,2026-05-08,SR2609,成交量,SR
19,宏源期货,16463,5973.0,2026-05-08,SR2609,成交量,SR
20,方正中期,15155,3958.0,2026-05-08,SR2609,成交量,SR
