排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,14039,290.0,2026-05-06,ss2606,多单持仓,SS
2,国泰君安,13947,801.0,2026-05-06,ss2606,多单持仓,SS
3,东证期货,13453,3967.0,2026-05-06,ss2606,多单持仓,SS
4,永安期货,8931,-2005.0,2026-05-06,ss2606,多单持仓,SS
5,华泰期货,5793,-392.0,2026-05-06,ss2606,多单持仓,SS
6,平安期货,5535,-459.0,2026-05-06,ss2606,多单持仓,SS
7,中金财富,5481,-299.0,2026-05-06,ss2606,多单持仓,SS
8,银河期货,4869,-203.0,2026-05-06,ss2606,多单持仓,SS
9,广发期货,4563,67.0,2026-05-06,ss2606,多单持仓,SS
10,中信建投,2943,-279.0,2026-05-06,ss2606,多单持仓,SS
11,光大期货,2941,-249.0,2026-05-06,ss2606,多单持仓,SS
12,方正中期,2921,254.0,2026-05-06,ss2606,多单持仓,SS
13,海证期货,2419,504.0,2026-05-06,ss2606,多单持仓,SS
14,新湖期货,2262,-24.0,2026-05-06,ss2606,多单持仓,SS
15,东海期货,2255,-314.0,2026-05-06,ss2606,多单持仓,SS
16,海通期货,2197,682.0,2026-05-06,ss2606,多单持仓,SS
17,浙商期货,2188,-145.0,2026-05-06,ss2606,多单持仓,SS
18,宏源期货,2076,428.0,2026-05-06,ss2606,多单持仓,SS
19,东航期货,2048,285.0,2026-05-06,ss2606,多单持仓,SS
20,申万期货,2025,14.0,2026-05-06,ss2606,多单持仓,SS
1,国泰君安,13441,-506.0,2026-05-07,ss2606,多单持仓,SS
2,中信期货,13216,-823.0,2026-05-07,ss2606,多单持仓,SS
3,东证期货,9590,-3863.0,2026-05-07,ss2606,多单持仓,SS
4,永安期货,7832,-1099.0,2026-05-07,ss2606,多单持仓,SS
5,华泰期货,5707,-86.0,2026-05-07,ss2606,多单持仓,SS
6,中金财富,5546,65.0,2026-05-07,ss2606,多单持仓,SS
7,平安期货,5407,-128.0,2026-05-07,ss2606,多单持仓,SS
8,银河期货,4854,-15.0,2026-05-07,ss2606,多单持仓,SS
9,广发期货,4420,-143.0,2026-05-07,ss2606,多单持仓,SS
10,方正中期,3216,295.0,2026-05-07,ss2606,多单持仓,SS
11,中信建投,2843,-100.0,2026-05-07,ss2606,多单持仓,SS
12,光大期货,2472,-469.0,2026-05-07,ss2606,多单持仓,SS
13,新湖期货,2414,152.0,2026-05-07,ss2606,多单持仓,SS
14,浙商期货,2309,121.0,2026-05-07,ss2606,多单持仓,SS
15,东海期货,2228,-27.0,2026-05-07,ss2606,多单持仓,SS
16,国联期货,2009,35.0,2026-05-07,ss2606,多单持仓,SS
17,国投期货,1868,122.0,2026-05-07,ss2606,多单持仓,SS
18,申万期货,1860,-165.0,2026-05-07,ss2606,多单持仓,SS
19,东吴期货,1809,-151.0,2026-05-07,ss2606,多单持仓,SS
20,海通期货,1804,-393.0,2026-05-07,ss2606,多单持仓,SS
1,中信期货,11051,-2165.0,2026-05-08,ss2606,多单持仓,SS
2,国泰君安,10778,-2663.0,2026-05-08,ss2606,多单持仓,SS
3,东证期货,7536,-2054.0,2026-05-08,ss2606,多单持仓,SS
4,永安期货,7434,-398.0,2026-05-08,ss2606,多单持仓,SS
5,华泰期货,5545,-162.0,2026-05-08,ss2606,多单持仓,SS
6,平安期货,4990,-417.0,2026-05-08,ss2606,多单持仓,SS
7,中金财富,4479,-1067.0,2026-05-08,ss2606,多单持仓,SS
8,银河期货,4305,-549.0,2026-05-08,ss2606,多单持仓,SS
9,广发期货,4189,-231.0,2026-05-08,ss2606,多单持仓,SS
10,中信建投,2822,-21.0,2026-05-08,ss2606,多单持仓,SS
11,方正中期,2281,-935.0,2026-05-08,ss2606,多单持仓,SS
12,新湖期货,2231,-183.0,2026-05-08,ss2606,多单持仓,SS
13,东海期货,2158,-70.0,2026-05-08,ss2606,多单持仓,SS
14,浙商期货,2083,-226.0,2026-05-08,ss2606,多单持仓,SS
15,国投期货,1785,-83.0,2026-05-08,ss2606,多单持仓,SS
16,东方财富,1765,1108.0,2026-05-08,ss2606,多单持仓,SS
17,光大期货,1578,-894.0,2026-05-08,ss2606,多单持仓,SS
18,招商期货,1551,11.0,2026-05-08,ss2606,多单持仓,SS
19,国联期货,1488,-521.0,2026-05-08,ss2606,多单持仓,SS
20,海证期货,1418,-248.0,2026-05-08,ss2606,多单持仓,SS
