排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,19552,828.0,2026-05-06,ss2606,空单持仓,SS
2,国泰君安,15088,568.0,2026-05-06,ss2606,空单持仓,SS
3,银河期货,7201,15.0,2026-05-06,ss2606,空单持仓,SS
4,国贸期货,5983,-407.0,2026-05-06,ss2606,空单持仓,SS
5,创元期货,5675,464.0,2026-05-06,ss2606,空单持仓,SS
6,华泰期货,5480,57.0,2026-05-06,ss2606,空单持仓,SS
7,国投期货,5316,-699.0,2026-05-06,ss2606,空单持仓,SS
8,广发期货,5237,515.0,2026-05-06,ss2606,空单持仓,SS
9,方正中期,5121,51.0,2026-05-06,ss2606,空单持仓,SS
10,东证期货,5027,124.0,2026-05-06,ss2606,空单持仓,SS
11,建信期货,4621,218.0,2026-05-06,ss2606,空单持仓,SS
12,广州期货,4090,-139.0,2026-05-06,ss2606,空单持仓,SS
13,国联期货,3715,253.0,2026-05-06,ss2606,空单持仓,SS
14,永安期货,3668,69.0,2026-05-06,ss2606,空单持仓,SS
15,申万期货,2983,-64.0,2026-05-06,ss2606,空单持仓,SS
16,物产中大,2708,48.0,2026-05-06,ss2606,空单持仓,SS
17,五矿期货,2695,152.0,2026-05-06,ss2606,空单持仓,SS
18,招商期货,2672,22.0,2026-05-06,ss2606,空单持仓,SS
19,海证期货,2640,-809.0,2026-05-06,ss2606,空单持仓,SS
20,东方财富,2535,1105.0,2026-05-06,ss2606,空单持仓,SS
1,中信期货,18699,-853.0,2026-05-07,ss2606,空单持仓,SS
2,国泰君安,13166,-1922.0,2026-05-07,ss2606,空单持仓,SS
3,银河期货,7267,66.0,2026-05-07,ss2606,空单持仓,SS
4,创元期货,5580,-95.0,2026-05-07,ss2606,空单持仓,SS
5,华泰期货,5297,-183.0,2026-05-07,ss2606,空单持仓,SS
6,国贸期货,4786,-1197.0,2026-05-07,ss2606,空单持仓,SS
7,东证期货,4781,-246.0,2026-05-07,ss2606,空单持仓,SS
8,方正中期,4570,-551.0,2026-05-07,ss2606,空单持仓,SS
9,建信期货,4512,-109.0,2026-05-07,ss2606,空单持仓,SS
10,广发期货,4509,-728.0,2026-05-07,ss2606,空单持仓,SS
11,国投期货,4346,-970.0,2026-05-07,ss2606,空单持仓,SS
12,广州期货,4134,44.0,2026-05-07,ss2606,空单持仓,SS
13,申万期货,3498,515.0,2026-05-07,ss2606,空单持仓,SS
14,国联期货,3174,-541.0,2026-05-07,ss2606,空单持仓,SS
15,永安期货,3110,-558.0,2026-05-07,ss2606,空单持仓,SS
16,五矿期货,2697,2.0,2026-05-07,ss2606,空单持仓,SS
17,中银期货,2387,50.0,2026-05-07,ss2606,空单持仓,SS
18,物产中大,2314,-394.0,2026-05-07,ss2606,空单持仓,SS
19,中国国际,2227,-41.0,2026-05-07,ss2606,空单持仓,SS
20,海证期货,2179,-461.0,2026-05-07,ss2606,空单持仓,SS
1,中信期货,18112,-587.0,2026-05-08,ss2606,空单持仓,SS
2,国泰君安,10790,-2376.0,2026-05-08,ss2606,空单持仓,SS
3,银河期货,6776,-491.0,2026-05-08,ss2606,空单持仓,SS
4,东证期货,4967,186.0,2026-05-08,ss2606,空单持仓,SS
5,创元期货,4325,-1255.0,2026-05-08,ss2606,空单持仓,SS
6,五矿期货,4008,1311.0,2026-05-08,ss2606,空单持仓,SS
7,华泰期货,3975,-1322.0,2026-05-08,ss2606,空单持仓,SS
8,广州期货,3930,-204.0,2026-05-08,ss2606,空单持仓,SS
9,建信期货,3827,-685.0,2026-05-08,ss2606,空单持仓,SS
10,广发期货,3222,-1287.0,2026-05-08,ss2606,空单持仓,SS
11,方正中期,2872,-1698.0,2026-05-08,ss2606,空单持仓,SS
12,海证期货,2689,510.0,2026-05-08,ss2606,空单持仓,SS
13,永安期货,2458,-652.0,2026-05-08,ss2606,空单持仓,SS
14,国联期货,2438,-736.0,2026-05-08,ss2606,空单持仓,SS
15,国投期货,2398,-1948.0,2026-05-08,ss2606,空单持仓,SS
16,瑞达期货,2264,1563.0,2026-05-08,ss2606,空单持仓,SS
17,中国国际,2206,-21.0,2026-05-08,ss2606,空单持仓,SS
18,中银期货,2188,-199.0,2026-05-08,ss2606,空单持仓,SS
19,申万期货,2175,-1323.0,2026-05-08,ss2606,空单持仓,SS
20,物产中大,2054,-260.0,2026-05-08,ss2606,空单持仓,SS
