排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,96543,-57167.0,2026-05-06,ss2606,成交量,SS
2,东证期货,39287,-35409.0,2026-05-06,ss2606,成交量,SS
3,中信期货,25696,-25565.0,2026-05-06,ss2606,成交量,SS
4,海通期货,18358,-27893.0,2026-05-06,ss2606,成交量,SS
5,华泰期货,16537,-19826.0,2026-05-06,ss2606,成交量,SS
6,浙商期货,15546,-31796.0,2026-05-06,ss2606,成交量,SS
7,华闻期货,10688,-39092.0,2026-05-06,ss2606,成交量,SS
8,东方财富,10518,-20887.0,2026-05-06,ss2606,成交量,SS
9,中泰期货,8953,-16776.0,2026-05-06,ss2606,成交量,SS
10,银河期货,7020,-11102.0,2026-05-06,ss2606,成交量,SS
11,广发期货,6072,-12792.0,2026-05-06,ss2606,成交量,SS
12,国投期货,4172,-2945.0,2026-05-06,ss2606,成交量,SS
13,永安期货,3776,-2025.0,2026-05-06,ss2606,成交量,SS
14,中信建投,3639,-4157.0,2026-05-06,ss2606,成交量,SS
15,光大期货,2941,-1882.0,2026-05-06,ss2606,成交量,SS
16,徽商期货,2921,-3341.0,2026-05-06,ss2606,成交量,SS
17,方正中期,2901,-5272.0,2026-05-06,ss2606,成交量,SS
18,申万期货,2664,-2573.0,2026-05-06,ss2606,成交量,SS
19,海证期货,2571,-928.0,2026-05-06,ss2606,成交量,SS
20,东吴期货,2369,-1657.0,2026-05-06,ss2606,成交量,SS
1,国泰君安,109048,12505.0,2026-05-07,ss2606,成交量,SS
2,东证期货,73701,34414.0,2026-05-07,ss2606,成交量,SS
3,中信期货,49590,23894.0,2026-05-07,ss2606,成交量,SS
4,华闻期货,33173,22485.0,2026-05-07,ss2606,成交量,SS
5,华泰期货,28603,12066.0,2026-05-07,ss2606,成交量,SS
6,海通期货,28578,10220.0,2026-05-07,ss2606,成交量,SS
7,浙商期货,24025,8479.0,2026-05-07,ss2606,成交量,SS
8,东方财富,20747,10229.0,2026-05-07,ss2606,成交量,SS
9,银河期货,12067,5047.0,2026-05-07,ss2606,成交量,SS
10,中泰期货,9098,145.0,2026-05-07,ss2606,成交量,SS
11,广发期货,7401,1329.0,2026-05-07,ss2606,成交量,SS
12,永安期货,4967,1191.0,2026-05-07,ss2606,成交量,SS
13,方正中期,4784,1883.0,2026-05-07,ss2606,成交量,SS
14,中信建投,4591,952.0,2026-05-07,ss2606,成交量,SS
15,国投期货,4548,376.0,2026-05-07,ss2606,成交量,SS
16,徽商期货,4063,1142.0,2026-05-07,ss2606,成交量,SS
17,国联期货,3586,1771.0,2026-05-07,ss2606,成交量,SS
18,宏源期货,3495,1287.0,2026-05-07,ss2606,成交量,SS
19,国信期货,3456,1640.0,2026-05-07,ss2606,成交量,SS
20,平安期货,3452,1455.0,2026-05-07,ss2606,成交量,SS
1,国泰君安,123929,14881.0,2026-05-08,ss2606,成交量,SS
2,东证期货,59682,-14019.0,2026-05-08,ss2606,成交量,SS
3,浙商期货,44994,20969.0,2026-05-08,ss2606,成交量,SS
4,华闻期货,38912,5739.0,2026-05-08,ss2606,成交量,SS
5,中信期货,32394,-17196.0,2026-05-08,ss2606,成交量,SS
6,华泰期货,31222,2619.0,2026-05-08,ss2606,成交量,SS
7,中泰期货,29010,19912.0,2026-05-08,ss2606,成交量,SS
8,海通期货,26782,-1796.0,2026-05-08,ss2606,成交量,SS
9,东方财富,19782,-965.0,2026-05-08,ss2606,成交量,SS
10,银河期货,11542,-525.0,2026-05-08,ss2606,成交量,SS
11,广发期货,8298,897.0,2026-05-08,ss2606,成交量,SS
12,方正中期,6713,1929.0,2026-05-08,ss2606,成交量,SS
13,中信建投,5254,663.0,2026-05-08,ss2606,成交量,SS
14,五矿期货,5209,4268.0,2026-05-08,ss2606,成交量,SS
15,徽商期货,4890,827.0,2026-05-08,ss2606,成交量,SS
16,国投期货,4271,-277.0,2026-05-08,ss2606,成交量,SS
17,国信期货,4141,685.0,2026-05-08,ss2606,成交量,SS
18,国联期货,4081,495.0,2026-05-08,ss2606,成交量,SS
19,瑞达期货,4039,1713.0,2026-05-08,ss2606,成交量,SS
20,申万期货,3938,1186.0,2026-05-08,ss2606,成交量,SS
