排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,165322,2322.0,2026-05-06,TA2609,多单持仓,TA
2,东证期货,112369,3617.0,2026-05-06,TA2609,多单持仓,TA
3,永安期货,93756,435.0,2026-05-06,TA2609,多单持仓,TA
4,中信期货,66121,962.0,2026-05-06,TA2609,多单持仓,TA
5,银河期货,53338,3520.0,2026-05-06,TA2609,多单持仓,TA
6,申银万国,44943,2551.0,2026-05-06,TA2609,多单持仓,TA
7,摩根大通,34466,3693.0,2026-05-06,TA2609,多单持仓,TA
8,中粮期货,34440,959.0,2026-05-06,TA2609,多单持仓,TA
9,光大期货,33823,887.0,2026-05-06,TA2609,多单持仓,TA
10,乾坤期货,29411,1899.0,2026-05-06,TA2609,多单持仓,TA
11,瑞银期货,26633,-805.0,2026-05-06,TA2609,多单持仓,TA
12,浙商期货,23592,758.0,2026-05-06,TA2609,多单持仓,TA
13,华泰期货,22912,255.0,2026-05-06,TA2609,多单持仓,TA
14,中金财富,17197,719.0,2026-05-06,TA2609,多单持仓,TA
15,广发期货,13613,276.0,2026-05-06,TA2609,多单持仓,TA
16,英大期货,12901,-20.0,2026-05-06,TA2609,多单持仓,TA
17,国贸期货,12775,44.0,2026-05-06,TA2609,多单持仓,TA
18,宏源期货,11582,737.0,2026-05-06,TA2609,多单持仓,TA
19,招商期货,10874,568.0,2026-05-06,TA2609,多单持仓,TA
20,五矿期货,10816,1202.0,2026-05-06,TA2609,多单持仓,TA
1,国泰君安,156562,-8760.0,2026-05-07,TA2609,多单持仓,TA
2,东证期货,104657,-7712.0,2026-05-07,TA2609,多单持仓,TA
3,永安期货,98327,4571.0,2026-05-07,TA2609,多单持仓,TA
4,中信期货,71563,5442.0,2026-05-07,TA2609,多单持仓,TA
5,银河期货,52448,-890.0,2026-05-07,TA2609,多单持仓,TA
6,申银万国,39247,-5696.0,2026-05-07,TA2609,多单持仓,TA
7,中粮期货,34582,142.0,2026-05-07,TA2609,多单持仓,TA
8,光大期货,33577,-246.0,2026-05-07,TA2609,多单持仓,TA
9,摩根大通,31533,-2933.0,2026-05-07,TA2609,多单持仓,TA
10,瑞银期货,27042,409.0,2026-05-07,TA2609,多单持仓,TA
11,乾坤期货,26903,-2508.0,2026-05-07,TA2609,多单持仓,TA
12,华泰期货,18755,-4157.0,2026-05-07,TA2609,多单持仓,TA
13,中金财富,16785,-412.0,2026-05-07,TA2609,多单持仓,TA
14,广发期货,15719,2106.0,2026-05-07,TA2609,多单持仓,TA
15,浙商期货,14175,-9417.0,2026-05-07,TA2609,多单持仓,TA
16,英大期货,12907,6.0,2026-05-07,TA2609,多单持仓,TA
17,国贸期货,12145,-630.0,2026-05-07,TA2609,多单持仓,TA
18,五矿期货,12114,1298.0,2026-05-07,TA2609,多单持仓,TA
19,海通期货,10697,1569.0,2026-05-07,TA2609,多单持仓,TA
20,宏源期货,9802,-1780.0,2026-05-07,TA2609,多单持仓,TA
1,国泰君安,133052,-23510.0,2026-05-08,TA2609,多单持仓,TA
2,东证期货,101115,-3542.0,2026-05-08,TA2609,多单持仓,TA
3,永安期货,96884,-1443.0,2026-05-08,TA2609,多单持仓,TA
4,中信期货,65025,-6538.0,2026-05-08,TA2609,多单持仓,TA
5,银河期货,52144,-304.0,2026-05-08,TA2609,多单持仓,TA
6,申银万国,50501,11254.0,2026-05-08,TA2609,多单持仓,TA
7,中粮期货,34792,210.0,2026-05-08,TA2609,多单持仓,TA
8,光大期货,34677,1100.0,2026-05-08,TA2609,多单持仓,TA
9,摩根大通,31872,339.0,2026-05-08,TA2609,多单持仓,TA
10,乾坤期货,30303,3400.0,2026-05-08,TA2609,多单持仓,TA
11,瑞银期货,27630,588.0,2026-05-08,TA2609,多单持仓,TA
12,华泰期货,18845,90.0,2026-05-08,TA2609,多单持仓,TA
13,广发期货,15987,268.0,2026-05-08,TA2609,多单持仓,TA
14,浙商期货,14577,402.0,2026-05-08,TA2609,多单持仓,TA
15,中金财富,13076,-3709.0,2026-05-08,TA2609,多单持仓,TA
16,英大期货,13023,116.0,2026-05-08,TA2609,多单持仓,TA
17,国贸期货,12174,29.0,2026-05-08,TA2609,多单持仓,TA
18,五矿期货,10588,-1526.0,2026-05-08,TA2609,多单持仓,TA
19,国盛期货,9703,3015.0,2026-05-08,TA2609,多单持仓,TA
20,海通期货,9682,-1015.0,2026-05-08,TA2609,多单持仓,TA
