排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,157446,9416.0,2026-05-06,TA2609,空单持仓,TA
2,中信期货,99626,1481.0,2026-05-06,TA2609,空单持仓,TA
3,永安期货,67319,1356.0,2026-05-06,TA2609,空单持仓,TA
4,东吴期货,57328,4145.0,2026-05-06,TA2609,空单持仓,TA
5,南华期货,52809,832.0,2026-05-06,TA2609,空单持仓,TA
6,国贸期货,48815,528.0,2026-05-06,TA2609,空单持仓,TA
7,中银国际,35255,122.0,2026-05-06,TA2609,空单持仓,TA
8,东证期货,34480,-2003.0,2026-05-06,TA2609,空单持仓,TA
9,银河期货,33551,1080.0,2026-05-06,TA2609,空单持仓,TA
10,中信建投,24576,737.0,2026-05-06,TA2609,空单持仓,TA
11,光大期货,24160,-83.0,2026-05-06,TA2609,空单持仓,TA
12,浙商期货,22394,938.0,2026-05-06,TA2609,空单持仓,TA
13,盛达期货,18551,489.0,2026-05-06,TA2609,空单持仓,TA
14,华泰期货,18490,512.0,2026-05-06,TA2609,空单持仓,TA
15,徽商期货,16415,2653.0,2026-05-06,TA2609,空单持仓,TA
16,五矿期货,15202,885.0,2026-05-06,TA2609,空单持仓,TA
17,兴证期货,14870,949.0,2026-05-06,TA2609,空单持仓,TA
18,国投期货,14055,363.0,2026-05-06,TA2609,空单持仓,TA
19,大越期货,13485,287.0,2026-05-06,TA2609,空单持仓,TA
20,弘业期货,13125,2541.0,2026-05-06,TA2609,空单持仓,TA
1,国泰君安,148988,-8458.0,2026-05-07,TA2609,空单持仓,TA
2,中信期货,97162,-2464.0,2026-05-07,TA2609,空单持仓,TA
3,永安期货,64517,-2802.0,2026-05-07,TA2609,空单持仓,TA
4,南华期货,51982,-827.0,2026-05-07,TA2609,空单持仓,TA
5,东吴期货,51044,-6284.0,2026-05-07,TA2609,空单持仓,TA
6,国贸期货,47030,-1785.0,2026-05-07,TA2609,空单持仓,TA
7,中银国际,35016,-239.0,2026-05-07,TA2609,空单持仓,TA
8,东证期货,33963,-517.0,2026-05-07,TA2609,空单持仓,TA
9,银河期货,30937,-2614.0,2026-05-07,TA2609,空单持仓,TA
10,浙商期货,23093,699.0,2026-05-07,TA2609,空单持仓,TA
11,中信建投,22049,-2527.0,2026-05-07,TA2609,空单持仓,TA
12,光大期货,20990,-3170.0,2026-05-07,TA2609,空单持仓,TA
13,五矿期货,17204,2002.0,2026-05-07,TA2609,空单持仓,TA
14,盛达期货,16461,-2090.0,2026-05-07,TA2609,空单持仓,TA
15,徽商期货,15302,-1113.0,2026-05-07,TA2609,空单持仓,TA
16,华泰期货,14807,-3683.0,2026-05-07,TA2609,空单持仓,TA
17,兴证期货,14555,-315.0,2026-05-07,TA2609,空单持仓,TA
18,广发期货,13350,2340.0,2026-05-07,TA2609,空单持仓,TA
19,弘业期货,13069,-56.0,2026-05-07,TA2609,空单持仓,TA
20,国投期货,12733,-1322.0,2026-05-07,TA2609,空单持仓,TA
1,国泰君安,143714,-5274.0,2026-05-08,TA2609,空单持仓,TA
2,中信期货,98162,1000.0,2026-05-08,TA2609,空单持仓,TA
3,永安期货,64721,204.0,2026-05-08,TA2609,空单持仓,TA
4,南华期货,51509,-473.0,2026-05-08,TA2609,空单持仓,TA
5,东吴期货,47738,-3306.0,2026-05-08,TA2609,空单持仓,TA
6,国贸期货,45359,-1671.0,2026-05-08,TA2609,空单持仓,TA
7,东证期货,34039,76.0,2026-05-08,TA2609,空单持仓,TA
8,中银国际,32898,-2118.0,2026-05-08,TA2609,空单持仓,TA
9,银河期货,30461,-476.0,2026-05-08,TA2609,空单持仓,TA
10,中信建投,24476,2427.0,2026-05-08,TA2609,空单持仓,TA
11,浙商期货,22783,-310.0,2026-05-08,TA2609,空单持仓,TA
12,光大期货,20230,-760.0,2026-05-08,TA2609,空单持仓,TA
13,华泰期货,18051,3244.0,2026-05-08,TA2609,空单持仓,TA
14,五矿期货,15802,-1402.0,2026-05-08,TA2609,空单持仓,TA
15,徽商期货,15103,-199.0,2026-05-08,TA2609,空单持仓,TA
16,兴证期货,14910,355.0,2026-05-08,TA2609,空单持仓,TA
17,盛达期货,14132,-2329.0,2026-05-08,TA2609,空单持仓,TA
18,方正中期,13254,1190.0,2026-05-08,TA2609,空单持仓,TA
19,广发期货,13248,-102.0,2026-05-08,TA2609,空单持仓,TA
20,弘业期货,12783,-286.0,2026-05-08,TA2609,空单持仓,TA
