排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,152971,-29126.0,2026-05-06,TA2609,成交量,TA
2,国泰君安,135196,1527.0,2026-05-06,TA2609,成交量,TA
3,东证期货,99508,-16622.0,2026-05-06,TA2609,成交量,TA
4,华闻期货,67286,-3634.0,2026-05-06,TA2609,成交量,TA
5,银河期货,50720,-6697.0,2026-05-06,TA2609,成交量,TA
6,海通期货,47100,-2054.0,2026-05-06,TA2609,成交量,TA
7,永安期货,38001,-19794.0,2026-05-06,TA2609,成交量,TA
8,华泰期货,36289,-13761.0,2026-05-06,TA2609,成交量,TA
9,格林大华期货,31300,24389.0,2026-05-06,TA2609,成交量,TA
10,国盛期货,30800,-9488.0,2026-05-06,TA2609,成交量,TA
11,中泰期货,29421,833.0,2026-05-06,TA2609,成交量,TA
12,光大期货,28596,3741.0,2026-05-06,TA2609,成交量,TA
13,南华期货,26991,-38330.0,2026-05-06,TA2609,成交量,TA
14,招商期货,24007,5173.0,2026-05-06,TA2609,成交量,TA
15,渤海期货,23153,13202.0,2026-05-06,TA2609,成交量,TA
16,国信期货,23065,-8775.0,2026-05-06,TA2609,成交量,TA
17,徽商期货,22151,-4761.0,2026-05-06,TA2609,成交量,TA
18,中粮期货,20467,11999.0,2026-05-06,TA2609,成交量,TA
19,中信建投,19828,-3019.0,2026-05-06,TA2609,成交量,TA
20,东海期货,18903,-2695.0,2026-05-06,TA2609,成交量,TA
1,中信期货,214534,61563.0,2026-05-07,TA2609,成交量,TA
2,国泰君安,191792,56596.0,2026-05-07,TA2609,成交量,TA
3,东证期货,145683,46175.0,2026-05-07,TA2609,成交量,TA
4,华闻期货,91939,24653.0,2026-05-07,TA2609,成交量,TA
5,华泰期货,72668,36379.0,2026-05-07,TA2609,成交量,TA
6,银河期货,64466,13746.0,2026-05-07,TA2609,成交量,TA
7,海通期货,60764,13664.0,2026-05-07,TA2609,成交量,TA
8,永安期货,50995,12994.0,2026-05-07,TA2609,成交量,TA
9,广发期货,50782,33253.0,2026-05-07,TA2609,成交量,TA
10,国信期货,50531,27466.0,2026-05-07,TA2609,成交量,TA
11,中信建投,47621,27793.0,2026-05-07,TA2609,成交量,TA
12,光大期货,44990,16394.0,2026-05-07,TA2609,成交量,TA
13,国盛期货,44785,13985.0,2026-05-07,TA2609,成交量,TA
14,招商期货,44154,20147.0,2026-05-07,TA2609,成交量,TA
15,申银万国,43560,27439.0,2026-05-07,TA2609,成交量,TA
16,渤海期货,42644,19491.0,2026-05-07,TA2609,成交量,TA
17,南华期货,34833,7842.0,2026-05-07,TA2609,成交量,TA
18,东吴期货,32393,15979.0,2026-05-07,TA2609,成交量,TA
19,浙商期货,30950,21584.0,2026-05-07,TA2609,成交量,TA
20,中泰期货,30126,705.0,2026-05-07,TA2609,成交量,TA
1,中信期货,172776,-41758.0,2026-05-08,TA2609,成交量,TA
2,国泰君安,154900,-36892.0,2026-05-08,TA2609,成交量,TA
3,东证期货,111648,-34035.0,2026-05-08,TA2609,成交量,TA
4,华闻期货,83238,-8701.0,2026-05-08,TA2609,成交量,TA
5,南华期货,62827,27994.0,2026-05-08,TA2609,成交量,TA
6,华泰期货,52722,-19946.0,2026-05-08,TA2609,成交量,TA
7,海通期货,49248,-11516.0,2026-05-08,TA2609,成交量,TA
8,永安期货,49225,-1770.0,2026-05-08,TA2609,成交量,TA
9,国盛期货,47111,2326.0,2026-05-08,TA2609,成交量,TA
10,国信期货,46489,-4042.0,2026-05-08,TA2609,成交量,TA
11,银河期货,46000,-18466.0,2026-05-08,TA2609,成交量,TA
12,广发期货,41636,-9146.0,2026-05-08,TA2609,成交量,TA
13,徽商期货,31129,6190.0,2026-05-08,TA2609,成交量,TA
14,中信建投,30184,-17437.0,2026-05-08,TA2609,成交量,TA
15,光大期货,26694,-18296.0,2026-05-08,TA2609,成交量,TA
16,申银万国,26178,-17382.0,2026-05-08,TA2609,成交量,TA
17,招商期货,25234,-18920.0,2026-05-08,TA2609,成交量,TA
18,浙商期货,23752,-7198.0,2026-05-08,TA2609,成交量,TA
19,东吴期货,23583,-8810.0,2026-05-08,TA2609,成交量,TA
20,格林大华期货,20813,-3279.0,2026-05-08,TA2609,成交量,TA
