排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,24886,899.0,2026-05-06,UR2609,多单持仓,UR
2,中信期货,19957,1326.0,2026-05-06,UR2609,多单持仓,UR
3,华泰期货,14361,2654.0,2026-05-06,UR2609,多单持仓,UR
4,永安期货,11600,-323.0,2026-05-06,UR2609,多单持仓,UR
5,东证期货,11352,1253.0,2026-05-06,UR2609,多单持仓,UR
6,银河期货,10384,115.0,2026-05-06,UR2609,多单持仓,UR
7,大地期货,9496,-609.0,2026-05-06,UR2609,多单持仓,UR
8,招商期货,8425,-521.0,2026-05-06,UR2609,多单持仓,UR
9,中粮期货,8162,-906.0,2026-05-06,UR2609,多单持仓,UR
10,平安期货,7761,671.0,2026-05-06,UR2609,多单持仓,UR
11,广发期货,7661,-1385.0,2026-05-06,UR2609,多单持仓,UR
12,中金财富,7592,-555.0,2026-05-06,UR2609,多单持仓,UR
13,光大期货,7571,161.0,2026-05-06,UR2609,多单持仓,UR
14,国投期货,7020,777.0,2026-05-06,UR2609,多单持仓,UR
15,五矿期货,6719,1309.0,2026-05-06,UR2609,多单持仓,UR
16,瑞达期货,6664,1718.0,2026-05-06,UR2609,多单持仓,UR
17,宏源期货,6646,-93.0,2026-05-06,UR2609,多单持仓,UR
18,徽商期货,6531,765.0,2026-05-06,UR2609,多单持仓,UR
19,方正中期,6420,160.0,2026-05-06,UR2609,多单持仓,UR
20,中泰期货,6267,390.0,2026-05-06,UR2609,多单持仓,UR
1,国泰君安,23131,-1755.0,2026-05-07,UR2609,多单持仓,UR
2,中信期货,21585,1628.0,2026-05-07,UR2609,多单持仓,UR
3,东证期货,14611,3259.0,2026-05-07,UR2609,多单持仓,UR
4,华泰期货,12572,-1789.0,2026-05-07,UR2609,多单持仓,UR
5,五矿期货,9810,3091.0,2026-05-07,UR2609,多单持仓,UR
6,大地期货,9684,188.0,2026-05-07,UR2609,多单持仓,UR
7,银河期货,9215,-1169.0,2026-05-07,UR2609,多单持仓,UR
8,永安期货,9097,-2503.0,2026-05-07,UR2609,多单持仓,UR
9,一德期货,8880,3072.0,2026-05-07,UR2609,多单持仓,UR
10,中粮期货,8395,233.0,2026-05-07,UR2609,多单持仓,UR
11,招商期货,8132,-293.0,2026-05-07,UR2609,多单持仓,UR
12,中泰期货,7930,1663.0,2026-05-07,UR2609,多单持仓,UR
13,方正中期,7029,609.0,2026-05-07,UR2609,多单持仓,UR
14,广发期货,6978,-683.0,2026-05-07,UR2609,多单持仓,UR
15,光大期货,6952,-619.0,2026-05-07,UR2609,多单持仓,UR
16,中金财富,6929,-663.0,2026-05-07,UR2609,多单持仓,UR
17,东吴期货,6833,754.0,2026-05-07,UR2609,多单持仓,UR
18,瑞达期货,6688,24.0,2026-05-07,UR2609,多单持仓,UR
19,徽商期货,6478,-53.0,2026-05-07,UR2609,多单持仓,UR
20,平安期货,5982,-1779.0,2026-05-07,UR2609,多单持仓,UR
1,国泰君安,20049,-3082.0,2026-05-08,UR2609,多单持仓,UR
2,中信期货,19826,-1759.0,2026-05-08,UR2609,多单持仓,UR
3,东证期货,13505,-1106.0,2026-05-08,UR2609,多单持仓,UR
4,华泰期货,12040,-532.0,2026-05-08,UR2609,多单持仓,UR
5,大地期货,9375,-309.0,2026-05-08,UR2609,多单持仓,UR
6,中泰期货,9079,1149.0,2026-05-08,UR2609,多单持仓,UR
7,永安期货,8827,-270.0,2026-05-08,UR2609,多单持仓,UR
8,一德期货,8807,-73.0,2026-05-08,UR2609,多单持仓,UR
9,中粮期货,8537,142.0,2026-05-08,UR2609,多单持仓,UR
10,银河期货,7946,-1269.0,2026-05-08,UR2609,多单持仓,UR
11,广发期货,7189,211.0,2026-05-08,UR2609,多单持仓,UR
12,招商期货,7098,-1034.0,2026-05-08,UR2609,多单持仓,UR
13,瑞达期货,6791,103.0,2026-05-08,UR2609,多单持仓,UR
14,五矿期货,6318,-3492.0,2026-05-08,UR2609,多单持仓,UR
15,中金财富,6187,-742.0,2026-05-08,UR2609,多单持仓,UR
16,东吴期货,6057,-776.0,2026-05-08,UR2609,多单持仓,UR
17,方正中期,5462,-1567.0,2026-05-08,UR2609,多单持仓,UR
18,徽商期货,5459,-1019.0,2026-05-08,UR2609,多单持仓,UR
19,中信建投,5353,477.0,2026-05-08,UR2609,多单持仓,UR
20,宏源期货,4994,-666.0,2026-05-08,UR2609,多单持仓,UR
