排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,49233,1503.0,2026-05-06,UR2609,空单持仓,UR
2,银河期货,23319,-1592.0,2026-05-06,UR2609,空单持仓,UR
3,东证期货,21548,-1193.0,2026-05-06,UR2609,空单持仓,UR
4,一德期货,19610,-1055.0,2026-05-06,UR2609,空单持仓,UR
5,中信期货,17686,1783.0,2026-05-06,UR2609,空单持仓,UR
6,中泰期货,15464,-1615.0,2026-05-06,UR2609,空单持仓,UR
7,永安期货,12964,863.0,2026-05-06,UR2609,空单持仓,UR
8,中原期货,12047,-562.0,2026-05-06,UR2609,空单持仓,UR
9,中融汇信,8782,979.0,2026-05-06,UR2609,空单持仓,UR
10,浙商期货,8187,553.0,2026-05-06,UR2609,空单持仓,UR
11,华泰期货,7597,693.0,2026-05-06,UR2609,空单持仓,UR
12,中财期货,6907,566.0,2026-05-06,UR2609,空单持仓,UR
13,五矿期货,6760,1142.0,2026-05-06,UR2609,空单持仓,UR
14,中信建投,6648,55.0,2026-05-06,UR2609,空单持仓,UR
15,瑞达期货,6040,-928.0,2026-05-06,UR2609,空单持仓,UR
16,国海良时,5157,-57.0,2026-05-06,UR2609,空单持仓,UR
17,冠通期货,5069,-148.0,2026-05-06,UR2609,空单持仓,UR
18,徽商期货,4706,-602.0,2026-05-06,UR2609,空单持仓,UR
19,南华期货,4586,162.0,2026-05-06,UR2609,空单持仓,UR
20,招商期货,4468,7.0,2026-05-06,UR2609,空单持仓,UR
1,国泰君安,48623,-610.0,2026-05-07,UR2609,空单持仓,UR
2,银河期货,20463,-2856.0,2026-05-07,UR2609,空单持仓,UR
3,东证期货,20214,-1334.0,2026-05-07,UR2609,空单持仓,UR
4,一德期货,17247,-2363.0,2026-05-07,UR2609,空单持仓,UR
5,中信期货,16086,-1600.0,2026-05-07,UR2609,空单持仓,UR
6,中泰期货,14559,-905.0,2026-05-07,UR2609,空单持仓,UR
7,永安期货,11787,-1177.0,2026-05-07,UR2609,空单持仓,UR
8,中原期货,11526,-521.0,2026-05-07,UR2609,空单持仓,UR
9,五矿期货,9090,2330.0,2026-05-07,UR2609,空单持仓,UR
10,华泰期货,8388,791.0,2026-05-07,UR2609,空单持仓,UR
11,中融汇信,8215,-567.0,2026-05-07,UR2609,空单持仓,UR
12,浙商期货,7845,-342.0,2026-05-07,UR2609,空单持仓,UR
13,中信建投,6295,-353.0,2026-05-07,UR2609,空单持仓,UR
14,国海良时,5654,497.0,2026-05-07,UR2609,空单持仓,UR
15,中财期货,5527,-1380.0,2026-05-07,UR2609,空单持仓,UR
16,瑞达期货,4930,-1110.0,2026-05-07,UR2609,空单持仓,UR
17,国信期货,4902,510.0,2026-05-07,UR2609,空单持仓,UR
18,南华期货,4754,168.0,2026-05-07,UR2609,空单持仓,UR
19,中金财富,4418,905.0,2026-05-07,UR2609,空单持仓,UR
20,冠通期货,4398,-671.0,2026-05-07,UR2609,空单持仓,UR
1,国泰君安,46876,-1747.0,2026-05-08,UR2609,空单持仓,UR
2,东证期货,18446,-1768.0,2026-05-08,UR2609,空单持仓,UR
3,银河期货,18186,-2277.0,2026-05-08,UR2609,空单持仓,UR
4,中信期货,17618,1532.0,2026-05-08,UR2609,空单持仓,UR
5,中泰期货,13441,-1118.0,2026-05-08,UR2609,空单持仓,UR
6,一德期货,12666,-4581.0,2026-05-08,UR2609,空单持仓,UR
7,永安期货,11315,-472.0,2026-05-08,UR2609,空单持仓,UR
8,中原期货,8142,-3384.0,2026-05-08,UR2609,空单持仓,UR
9,华泰期货,8105,-283.0,2026-05-08,UR2609,空单持仓,UR
10,浙商期货,7729,-116.0,2026-05-08,UR2609,空单持仓,UR
11,五矿期货,7033,-2057.0,2026-05-08,UR2609,空单持仓,UR
12,中融汇信,6482,-1733.0,2026-05-08,UR2609,空单持仓,UR
13,中信建投,6321,26.0,2026-05-08,UR2609,空单持仓,UR
14,国信期货,5325,423.0,2026-05-08,UR2609,空单持仓,UR
15,中金财富,5234,816.0,2026-05-08,UR2609,空单持仓,UR
16,国海良时,5226,-428.0,2026-05-08,UR2609,空单持仓,UR
17,瑞达期货,5084,154.0,2026-05-08,UR2609,空单持仓,UR
18,广发期货,4800,1483.0,2026-05-08,UR2609,空单持仓,UR
19,中粮期货,4728,334.0,2026-05-08,UR2609,空单持仓,UR
20,招商期货,4444,138.0,2026-05-08,UR2609,空单持仓,UR
