排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,56708,4668.0,2026-05-06,UR2609,成交量,UR
2,东证期货,55982,188.0,2026-05-06,UR2609,成交量,UR
3,中信期货,45323,1062.0,2026-05-06,UR2609,成交量,UR
4,浙商期货,33897,17306.0,2026-05-06,UR2609,成交量,UR
5,广发期货,30718,3211.0,2026-05-06,UR2609,成交量,UR
6,银河期货,27245,6260.0,2026-05-06,UR2609,成交量,UR
7,华闻期货,25755,6414.0,2026-05-06,UR2609,成交量,UR
8,中泰期货,19967,-255.0,2026-05-06,UR2609,成交量,UR
9,光大期货,14833,-5841.0,2026-05-06,UR2609,成交量,UR
10,华泰期货,14039,1296.0,2026-05-06,UR2609,成交量,UR
11,国信期货,13915,4778.0,2026-05-06,UR2609,成交量,UR
12,徽商期货,11243,-9495.0,2026-05-06,UR2609,成交量,UR
13,中信建投,10571,-725.0,2026-05-06,UR2609,成交量,UR
14,海通期货,10439,-1978.0,2026-05-06,UR2609,成交量,UR
15,永安期货,9868,2321.0,2026-05-06,UR2609,成交量,UR
16,方正中期,9675,1702.0,2026-05-06,UR2609,成交量,UR
17,华西期货,9427,2330.0,2026-05-06,UR2609,成交量,UR
18,中粮期货,9176,3699.0,2026-05-06,UR2609,成交量,UR
19,瑞达期货,9132,410.0,2026-05-06,UR2609,成交量,UR
20,宏源期货,8907,2952.0,2026-05-06,UR2609,成交量,UR
1,东证期货,66309,10327.0,2026-05-07,UR2609,成交量,UR
2,国泰君安,49347,-7361.0,2026-05-07,UR2609,成交量,UR
3,浙商期货,44557,10660.0,2026-05-07,UR2609,成交量,UR
4,中信期货,41640,-3683.0,2026-05-07,UR2609,成交量,UR
5,广发期货,27757,-2961.0,2026-05-07,UR2609,成交量,UR
6,华闻期货,21160,-4595.0,2026-05-07,UR2609,成交量,UR
7,中泰期货,19952,-15.0,2026-05-07,UR2609,成交量,UR
8,银河期货,18899,-8346.0,2026-05-07,UR2609,成交量,UR
9,华泰期货,17142,3103.0,2026-05-07,UR2609,成交量,UR
10,光大期货,16935,2102.0,2026-05-07,UR2609,成交量,UR
11,国信期货,16159,2244.0,2026-05-07,UR2609,成交量,UR
12,徽商期货,12352,1109.0,2026-05-07,UR2609,成交量,UR
13,方正中期,12126,2451.0,2026-05-07,UR2609,成交量,UR
14,永安期货,11444,1576.0,2026-05-07,UR2609,成交量,UR
15,海通期货,10166,-273.0,2026-05-07,UR2609,成交量,UR
16,中信建投,9506,-1065.0,2026-05-07,UR2609,成交量,UR
17,五矿期货,9175,2840.0,2026-05-07,UR2609,成交量,UR
18,一德期货,7749,2983.0,2026-05-07,UR2609,成交量,UR
19,东吴期货,7420,-1170.0,2026-05-07,UR2609,成交量,UR
20,宏源期货,7335,-1572.0,2026-05-07,UR2609,成交量,UR
1,东证期货,53744,-12565.0,2026-05-08,UR2609,成交量,UR
2,国泰君安,47799,-1548.0,2026-05-08,UR2609,成交量,UR
3,中信期货,36529,-5111.0,2026-05-08,UR2609,成交量,UR
4,广发期货,27940,183.0,2026-05-08,UR2609,成交量,UR
5,银河期货,26190,7291.0,2026-05-08,UR2609,成交量,UR
6,华闻期货,18030,-3130.0,2026-05-08,UR2609,成交量,UR
7,光大期货,16711,-224.0,2026-05-08,UR2609,成交量,UR
8,华泰期货,14735,-2407.0,2026-05-08,UR2609,成交量,UR
9,中泰期货,12971,-6981.0,2026-05-08,UR2609,成交量,UR
10,徽商期货,12542,190.0,2026-05-08,UR2609,成交量,UR
11,国信期货,12277,-3882.0,2026-05-08,UR2609,成交量,UR
12,永安期货,10836,-608.0,2026-05-08,UR2609,成交量,UR
13,海通期货,10818,652.0,2026-05-08,UR2609,成交量,UR
14,中信建投,10087,581.0,2026-05-08,UR2609,成交量,UR
15,方正中期,9850,-2276.0,2026-05-08,UR2609,成交量,UR
16,五矿期货,9623,448.0,2026-05-08,UR2609,成交量,UR
17,宏源期货,8980,1645.0,2026-05-08,UR2609,成交量,UR
18,国海良时,8007,4238.0,2026-05-08,UR2609,成交量,UR
19,东吴期货,7930,510.0,2026-05-08,UR2609,成交量,UR
20,一德期货,7048,-701.0,2026-05-08,UR2609,成交量,UR
