排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中财期货,124541,700.0,2026-05-06,v2609,多单持仓,V
2,恒力期货,77012,15.0,2026-05-06,v2609,多单持仓,V
3,国泰君安,45956,8626.0,2026-05-06,v2609,多单持仓,V
4,东证期货,41225,3057.0,2026-05-06,v2609,多单持仓,V
5,中信期货,32479,1742.0,2026-05-06,v2609,多单持仓,V
6,物产中大,32118,-136.0,2026-05-06,v2609,多单持仓,V
7,华泰期货,29161,867.0,2026-05-06,v2609,多单持仓,V
8,信达期货,28787,-49.0,2026-05-06,v2609,多单持仓,V
9,五矿期货,22509,282.0,2026-05-06,v2609,多单持仓,V
10,创元期货,21846,-442.0,2026-05-06,v2609,多单持仓,V
11,大越期货,21408,-186.0,2026-05-06,v2609,多单持仓,V
12,永安期货,19836,1708.0,2026-05-06,v2609,多单持仓,V
13,方正中期,18666,822.0,2026-05-06,v2609,多单持仓,V
14,安粮期货,18286,40.0,2026-05-06,v2609,多单持仓,V
15,银河期货,18267,1357.0,2026-05-06,v2609,多单持仓,V
16,南华期货,16338,471.0,2026-05-06,v2609,多单持仓,V
17,广发期货,15835,968.0,2026-05-06,v2609,多单持仓,V
18,国联期货,14765,439.0,2026-05-06,v2609,多单持仓,V
19,国投期货,14360,122.0,2026-05-06,v2609,多单持仓,V
20,徽商期货,12080,962.0,2026-05-06,v2609,多单持仓,V
1,中财期货,119014,-5527.0,2026-05-07,v2609,多单持仓,V
2,恒力期货,77054,42.0,2026-05-07,v2609,多单持仓,V
3,国泰君安,53205,7249.0,2026-05-07,v2609,多单持仓,V
4,东证期货,43727,2502.0,2026-05-07,v2609,多单持仓,V
5,中信期货,37478,4999.0,2026-05-07,v2609,多单持仓,V
6,物产中大,32965,847.0,2026-05-07,v2609,多单持仓,V
7,华泰期货,30868,1707.0,2026-05-07,v2609,多单持仓,V
8,信达期货,29136,349.0,2026-05-07,v2609,多单持仓,V
9,五矿期货,22276,-233.0,2026-05-07,v2609,多单持仓,V
10,大越期货,21720,312.0,2026-05-07,v2609,多单持仓,V
11,永安期货,21162,1326.0,2026-05-07,v2609,多单持仓,V
12,方正中期,20793,2127.0,2026-05-07,v2609,多单持仓,V
13,创元期货,20433,-1413.0,2026-05-07,v2609,多单持仓,V
14,安粮期货,18627,341.0,2026-05-07,v2609,多单持仓,V
15,广发期货,18560,2725.0,2026-05-07,v2609,多单持仓,V
16,银河期货,17615,-652.0,2026-05-07,v2609,多单持仓,V
17,国联期货,14900,135.0,2026-05-07,v2609,多单持仓,V
18,国投期货,14897,537.0,2026-05-07,v2609,多单持仓,V
19,南华期货,14395,-1943.0,2026-05-07,v2609,多单持仓,V
20,徽商期货,13375,1295.0,2026-05-07,v2609,多单持仓,V
1,中财期货,118334,-680.0,2026-05-08,v2609,多单持仓,V
2,恒力期货,76948,-106.0,2026-05-08,v2609,多单持仓,V
3,国泰君安,46730,-6475.0,2026-05-08,v2609,多单持仓,V
4,东证期货,43181,-546.0,2026-05-08,v2609,多单持仓,V
5,中信期货,34253,-3225.0,2026-05-08,v2609,多单持仓,V
6,物产中大,34142,1177.0,2026-05-08,v2609,多单持仓,V
7,华泰期货,29629,-1239.0,2026-05-08,v2609,多单持仓,V
8,信达期货,29105,-31.0,2026-05-08,v2609,多单持仓,V
9,五矿期货,21666,-610.0,2026-05-08,v2609,多单持仓,V
10,大越期货,21548,-172.0,2026-05-08,v2609,多单持仓,V
11,方正中期,20677,-116.0,2026-05-08,v2609,多单持仓,V
12,永安期货,20521,-641.0,2026-05-08,v2609,多单持仓,V
13,创元期货,19543,-890.0,2026-05-08,v2609,多单持仓,V
14,银河期货,19417,1802.0,2026-05-08,v2609,多单持仓,V
15,安粮期货,18510,-117.0,2026-05-08,v2609,多单持仓,V
16,广发期货,18009,-551.0,2026-05-08,v2609,多单持仓,V
17,国联期货,15953,1053.0,2026-05-08,v2609,多单持仓,V
18,南华期货,14586,191.0,2026-05-08,v2609,多单持仓,V
19,国投期货,14449,-448.0,2026-05-08,v2609,多单持仓,V
20,华鑫期货,13669,1943.0,2026-05-08,v2609,多单持仓,V
