排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,104002,4533.0,2026-05-06,v2609,空单持仓,V
2,永安期货,98174,2221.0,2026-05-06,v2609,空单持仓,V
3,中信期货,77036,3417.0,2026-05-06,v2609,空单持仓,V
4,东证期货,64245,202.0,2026-05-06,v2609,空单持仓,V
5,华泰期货,52009,1701.0,2026-05-06,v2609,空单持仓,V
6,浙商期货,37797,3636.0,2026-05-06,v2609,空单持仓,V
7,银河期货,23870,978.0,2026-05-06,v2609,空单持仓,V
8,中金财富,23668,1637.0,2026-05-06,v2609,空单持仓,V
9,海通期货,21290,2244.0,2026-05-06,v2609,空单持仓,V
10,中信建投,18029,825.0,2026-05-06,v2609,空单持仓,V
11,大地期货,17252,317.0,2026-05-06,v2609,空单持仓,V
12,南华期货,15411,878.0,2026-05-06,v2609,空单持仓,V
13,国海良时,15066,1143.0,2026-05-06,v2609,空单持仓,V
14,国投期货,15059,735.0,2026-05-06,v2609,空单持仓,V
15,中粮期货,14521,522.0,2026-05-06,v2609,空单持仓,V
16,方正中期,13360,3005.0,2026-05-06,v2609,空单持仓,V
17,浙江新世纪,12983,980.0,2026-05-06,v2609,空单持仓,V
18,物产中大,12628,514.0,2026-05-06,v2609,空单持仓,V
19,中泰期货,12291,-261.0,2026-05-06,v2609,空单持仓,V
20,瑞达期货,11888,1079.0,2026-05-06,v2609,空单持仓,V
1,国泰君安,113439,9437.0,2026-05-07,v2609,空单持仓,V
2,永安期货,96448,-1726.0,2026-05-07,v2609,空单持仓,V
3,中信期货,84848,7812.0,2026-05-07,v2609,空单持仓,V
4,东证期货,61448,-2797.0,2026-05-07,v2609,空单持仓,V
5,华泰期货,50251,-1758.0,2026-05-07,v2609,空单持仓,V
6,浙商期货,37809,12.0,2026-05-07,v2609,空单持仓,V
7,中金财富,27747,4079.0,2026-05-07,v2609,空单持仓,V
8,银河期货,25494,1624.0,2026-05-07,v2609,空单持仓,V
9,海通期货,24574,3284.0,2026-05-07,v2609,空单持仓,V
10,中信建投,19075,1046.0,2026-05-07,v2609,空单持仓,V
11,瑞达期货,16265,4377.0,2026-05-07,v2609,空单持仓,V
12,大地期货,16261,-991.0,2026-05-07,v2609,空单持仓,V
13,方正中期,15914,2554.0,2026-05-07,v2609,空单持仓,V
14,国投期货,15311,252.0,2026-05-07,v2609,空单持仓,V
15,南华期货,14454,-957.0,2026-05-07,v2609,空单持仓,V
16,高盛期货,13946,5663.0,2026-05-07,v2609,空单持仓,V
17,中粮期货,13592,-929.0,2026-05-07,v2609,空单持仓,V
18,中泰期货,12167,-124.0,2026-05-07,v2609,空单持仓,V
19,物产中大,11936,-692.0,2026-05-07,v2609,空单持仓,V
20,广发期货,11847,286.0,2026-05-07,v2609,空单持仓,V
1,国泰君安,113844,405.0,2026-05-08,v2609,空单持仓,V
2,永安期货,98104,1656.0,2026-05-08,v2609,空单持仓,V
3,中信期货,85549,701.0,2026-05-08,v2609,空单持仓,V
4,东证期货,59199,-2249.0,2026-05-08,v2609,空单持仓,V
5,华泰期货,48562,-1689.0,2026-05-08,v2609,空单持仓,V
6,浙商期货,37406,-403.0,2026-05-08,v2609,空单持仓,V
7,中金财富,29299,1552.0,2026-05-08,v2609,空单持仓,V
8,银河期货,25172,-322.0,2026-05-08,v2609,空单持仓,V
9,海通期货,18952,-5622.0,2026-05-08,v2609,空单持仓,V
10,中信建投,18524,-551.0,2026-05-08,v2609,空单持仓,V
11,大地期货,16127,-134.0,2026-05-08,v2609,空单持仓,V
12,国投期货,15459,148.0,2026-05-08,v2609,空单持仓,V
13,方正中期,14603,-1311.0,2026-05-08,v2609,空单持仓,V
14,瑞达期货,13982,-2283.0,2026-05-08,v2609,空单持仓,V
15,南华期货,13958,-496.0,2026-05-08,v2609,空单持仓,V
16,高盛期货,13950,4.0,2026-05-08,v2609,空单持仓,V
17,中粮期货,13552,-40.0,2026-05-08,v2609,空单持仓,V
18,广发期货,12617,770.0,2026-05-08,v2609,空单持仓,V
19,中泰期货,12157,-10.0,2026-05-08,v2609,空单持仓,V
20,物产中大,11974,38.0,2026-05-08,v2609,空单持仓,V
