排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,60231,3657.0,2026-05-06,y2609,多单持仓,Y
2,摩根大通,50054,5254.0,2026-05-06,y2609,多单持仓,Y
3,高盛期货,41915,4130.0,2026-05-06,y2609,多单持仓,Y
4,中信期货,40657,4537.0,2026-05-06,y2609,多单持仓,Y
5,东证期货,38358,-550.0,2026-05-06,y2609,多单持仓,Y
6,海通期货,33648,482.0,2026-05-06,y2609,多单持仓,Y
7,一德期货,30685,-1117.0,2026-05-06,y2609,多单持仓,Y
8,国投期货,29958,507.0,2026-05-06,y2609,多单持仓,Y
9,西部期货,22743,-590.0,2026-05-06,y2609,多单持仓,Y
10,华泰期货,17860,133.0,2026-05-06,y2609,多单持仓,Y
11,永安期货,16979,680.0,2026-05-06,y2609,多单持仓,Y
12,银河期货,15650,898.0,2026-05-06,y2609,多单持仓,Y
13,中粮期货,15373,-421.0,2026-05-06,y2609,多单持仓,Y
14,浙商期货,15123,53.0,2026-05-06,y2609,多单持仓,Y
15,广发期货,13390,1106.0,2026-05-06,y2609,多单持仓,Y
16,中金财富,12029,602.0,2026-05-06,y2609,多单持仓,Y
17,混沌天成,11793,309.0,2026-05-06,y2609,多单持仓,Y
18,瑞银期货,11690,268.0,2026-05-06,y2609,多单持仓,Y
19,东吴期货,10769,387.0,2026-05-06,y2609,多单持仓,Y
20,宏源期货,10332,508.0,2026-05-06,y2609,多单持仓,Y
1,国泰君安,57605,-2626.0,2026-05-07,y2609,多单持仓,Y
2,摩根大通,47326,-2728.0,2026-05-07,y2609,多单持仓,Y
3,高盛期货,40138,-1777.0,2026-05-07,y2609,多单持仓,Y
4,中信期货,38293,-2364.0,2026-05-07,y2609,多单持仓,Y
5,东证期货,33812,-4546.0,2026-05-07,y2609,多单持仓,Y
6,海通期货,33282,-366.0,2026-05-07,y2609,多单持仓,Y
7,一德期货,32992,2307.0,2026-05-07,y2609,多单持仓,Y
8,国投期货,29982,24.0,2026-05-07,y2609,多单持仓,Y
9,西部期货,22503,-240.0,2026-05-07,y2609,多单持仓,Y
10,华泰期货,17837,-23.0,2026-05-07,y2609,多单持仓,Y
11,永安期货,17241,262.0,2026-05-07,y2609,多单持仓,Y
12,中粮期货,16393,1020.0,2026-05-07,y2609,多单持仓,Y
13,银河期货,16252,602.0,2026-05-07,y2609,多单持仓,Y
14,浙商期货,15309,186.0,2026-05-07,y2609,多单持仓,Y
15,广发期货,13000,-390.0,2026-05-07,y2609,多单持仓,Y
16,混沌天成,11846,53.0,2026-05-07,y2609,多单持仓,Y
17,瑞银期货,11332,-358.0,2026-05-07,y2609,多单持仓,Y
18,中金财富,10782,-1247.0,2026-05-07,y2609,多单持仓,Y
19,东吴期货,10628,-141.0,2026-05-07,y2609,多单持仓,Y
20,中泰期货,10328,242.0,2026-05-07,y2609,多单持仓,Y
1,国泰君安,56402,-1203.0,2026-05-08,y2609,多单持仓,Y
2,摩根大通,47231,-95.0,2026-05-08,y2609,多单持仓,Y
3,中信期货,34856,-3437.0,2026-05-08,y2609,多单持仓,Y
4,高盛期货,33936,-6202.0,2026-05-08,y2609,多单持仓,Y
5,海通期货,33291,9.0,2026-05-08,y2609,多单持仓,Y
6,东证期货,32304,-1508.0,2026-05-08,y2609,多单持仓,Y
7,国投期货,31840,1858.0,2026-05-08,y2609,多单持仓,Y
8,一德期货,29568,-3424.0,2026-05-08,y2609,多单持仓,Y
9,西部期货,22544,41.0,2026-05-08,y2609,多单持仓,Y
10,中粮期货,18699,2306.0,2026-05-08,y2609,多单持仓,Y
11,华泰期货,17756,-81.0,2026-05-08,y2609,多单持仓,Y
12,永安期货,17256,15.0,2026-05-08,y2609,多单持仓,Y
13,银河期货,16141,-111.0,2026-05-08,y2609,多单持仓,Y
14,浙商期货,15160,-149.0,2026-05-08,y2609,多单持仓,Y
15,广发期货,12437,-563.0,2026-05-08,y2609,多单持仓,Y
16,混沌天成,11806,-40.0,2026-05-08,y2609,多单持仓,Y
17,瑞银期货,10893,-439.0,2026-05-08,y2609,多单持仓,Y
18,东吴期货,10381,-247.0,2026-05-08,y2609,多单持仓,Y
19,宏源期货,9873,-422.0,2026-05-08,y2609,多单持仓,Y
20,中泰期货,9730,-598.0,2026-05-08,y2609,多单持仓,Y
