排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,210630,3517.0,2026-05-06,y2609,空单持仓,Y
2,国投期货,114780,742.0,2026-05-06,y2609,空单持仓,Y
3,东证期货,42761,1374.0,2026-05-06,y2609,空单持仓,Y
4,广发期货,37061,-1772.0,2026-05-06,y2609,空单持仓,Y
5,中信期货,33362,2443.0,2026-05-06,y2609,空单持仓,Y
6,永安期货,18730,133.0,2026-05-06,y2609,空单持仓,Y
7,国泰君安,16179,936.0,2026-05-06,y2609,空单持仓,Y
8,摩根大通,15429,-1572.0,2026-05-06,y2609,空单持仓,Y
9,中泰期货,14011,630.0,2026-05-06,y2609,空单持仓,Y
10,宏源期货,12115,98.0,2026-05-06,y2609,空单持仓,Y
11,华泰期货,11511,1183.0,2026-05-06,y2609,空单持仓,Y
12,建信期货,11473,762.0,2026-05-06,y2609,空单持仓,Y
13,新湖期货,11455,112.0,2026-05-06,y2609,空单持仓,Y
14,银河期货,10418,1961.0,2026-05-06,y2609,空单持仓,Y
15,北京首创,10020,55.0,2026-05-06,y2609,空单持仓,Y
16,海通期货,9818,447.0,2026-05-06,y2609,空单持仓,Y
17,五矿期货,8713,-340.0,2026-05-06,y2609,空单持仓,Y
18,弘业期货,7384,3102.0,2026-05-06,y2609,空单持仓,Y
19,一德期货,7264,194.0,2026-05-06,y2609,空单持仓,Y
20,中信建投,7056,595.0,2026-05-06,y2609,空单持仓,Y
1,中粮期货,207374,-3256.0,2026-05-07,y2609,空单持仓,Y
2,国投期货,113636,-1144.0,2026-05-07,y2609,空单持仓,Y
3,东证期货,42562,-199.0,2026-05-07,y2609,空单持仓,Y
4,广发期货,37280,219.0,2026-05-07,y2609,空单持仓,Y
5,中信期货,33690,328.0,2026-05-07,y2609,空单持仓,Y
6,永安期货,17538,-1192.0,2026-05-07,y2609,空单持仓,Y
7,国泰君安,15922,-257.0,2026-05-07,y2609,空单持仓,Y
8,摩根大通,15356,-73.0,2026-05-07,y2609,空单持仓,Y
9,中泰期货,13590,-421.0,2026-05-07,y2609,空单持仓,Y
10,宏源期货,11854,-261.0,2026-05-07,y2609,空单持仓,Y
11,新湖期货,11538,83.0,2026-05-07,y2609,空单持仓,Y
12,建信期货,11341,-132.0,2026-05-07,y2609,空单持仓,Y
13,华泰期货,11332,-179.0,2026-05-07,y2609,空单持仓,Y
14,海通期货,10361,543.0,2026-05-07,y2609,空单持仓,Y
15,北京首创,9957,-63.0,2026-05-07,y2609,空单持仓,Y
16,五矿期货,8723,10.0,2026-05-07,y2609,空单持仓,Y
17,银河期货,7819,-2599.0,2026-05-07,y2609,空单持仓,Y
18,中信建投,7635,579.0,2026-05-07,y2609,空单持仓,Y
19,一德期货,7223,-41.0,2026-05-07,y2609,空单持仓,Y
20,中金财富,6620,121.0,2026-05-07,y2609,空单持仓,Y
1,中粮期货,206140,-1234.0,2026-05-08,y2609,空单持仓,Y
2,国投期货,110565,-3071.0,2026-05-08,y2609,空单持仓,Y
3,东证期货,43370,808.0,2026-05-08,y2609,空单持仓,Y
4,广发期货,40059,2779.0,2026-05-08,y2609,空单持仓,Y
5,中信期货,34390,700.0,2026-05-08,y2609,空单持仓,Y
6,国泰君安,17354,1432.0,2026-05-08,y2609,空单持仓,Y
7,永安期货,17024,-514.0,2026-05-08,y2609,空单持仓,Y
8,摩根大通,16895,1539.0,2026-05-08,y2609,空单持仓,Y
9,中泰期货,13081,-509.0,2026-05-08,y2609,空单持仓,Y
10,宏源期货,12015,161.0,2026-05-08,y2609,空单持仓,Y
11,新湖期货,11374,-164.0,2026-05-08,y2609,空单持仓,Y
12,华泰期货,11299,-33.0,2026-05-08,y2609,空单持仓,Y
13,海通期货,11151,790.0,2026-05-08,y2609,空单持仓,Y
14,建信期货,10502,-839.0,2026-05-08,y2609,空单持仓,Y
15,北京首创,9853,-104.0,2026-05-08,y2609,空单持仓,Y
16,一德期货,8750,1527.0,2026-05-08,y2609,空单持仓,Y
17,五矿期货,8366,-357.0,2026-05-08,y2609,空单持仓,Y
18,银河期货,7927,108.0,2026-05-08,y2609,空单持仓,Y
19,中信建投,6743,-892.0,2026-05-08,y2609,空单持仓,Y
20,中金财富,6720,100.0,2026-05-08,y2609,空单持仓,Y
