排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,76870,315.0,2026-05-06,y2609,成交量,Y
2,中信期货,52372,-1269.0,2026-05-06,y2609,成交量,Y
3,国泰君安,36931,-4868.0,2026-05-06,y2609,成交量,Y
4,光大期货,24127,1131.0,2026-05-06,y2609,成交量,Y
5,海通期货,21337,-2259.0,2026-05-06,y2609,成交量,Y
6,南华期货,17410,1891.0,2026-05-06,y2609,成交量,Y
7,广发期货,17250,-7972.0,2026-05-06,y2609,成交量,Y
8,华泰期货,14734,6257.0,2026-05-06,y2609,成交量,Y
9,中粮期货,13702,-6095.0,2026-05-06,y2609,成交量,Y
10,银河期货,12839,551.0,2026-05-06,y2609,成交量,Y
11,国投期货,10895,-1311.0,2026-05-06,y2609,成交量,Y
12,摩根大通,9138,2128.0,2026-05-06,y2609,成交量,Y
13,招商期货,8063,3585.0,2026-05-06,y2609,成交量,Y
14,瑞达期货,7232,1430.0,2026-05-06,y2609,成交量,Y
15,国信期货,6568,-927.0,2026-05-06,y2609,成交量,Y
16,高盛期货,6224,1890.0,2026-05-06,y2609,成交量,Y
17,中泰期货,6063,-274.0,2026-05-06,y2609,成交量,Y
18,中信建投,5526,-167.0,2026-05-06,y2609,成交量,Y
19,弘业期货,5127,392.0,2026-05-06,y2609,成交量,Y
20,浙商期货,5038,157.0,2026-05-06,y2609,成交量,Y
1,东证期货,84323,7453.0,2026-05-07,y2609,成交量,Y
2,中信期货,52230,-142.0,2026-05-07,y2609,成交量,Y
3,国泰君安,40997,4066.0,2026-05-07,y2609,成交量,Y
4,光大期货,25741,1614.0,2026-05-07,y2609,成交量,Y
5,海通期货,20805,-532.0,2026-05-07,y2609,成交量,Y
6,广发期货,17863,613.0,2026-05-07,y2609,成交量,Y
7,南华期货,16627,-783.0,2026-05-07,y2609,成交量,Y
8,永安期货,14574,10723.0,2026-05-07,y2609,成交量,Y
9,中粮期货,14064,362.0,2026-05-07,y2609,成交量,Y
10,银河期货,13725,886.0,2026-05-07,y2609,成交量,Y
11,华泰期货,13372,-1362.0,2026-05-07,y2609,成交量,Y
12,高盛期货,9552,3328.0,2026-05-07,y2609,成交量,Y
13,国投期货,8726,-2169.0,2026-05-07,y2609,成交量,Y
14,浙商期货,8022,2984.0,2026-05-07,y2609,成交量,Y
15,国信期货,7624,1056.0,2026-05-07,y2609,成交量,Y
16,摩根大通,7069,-2069.0,2026-05-07,y2609,成交量,Y
17,宏源期货,6464,1510.0,2026-05-07,y2609,成交量,Y
18,中信建投,6191,665.0,2026-05-07,y2609,成交量,Y
19,中泰期货,5407,-656.0,2026-05-07,y2609,成交量,Y
20,弘业期货,5125,-2.0,2026-05-07,y2609,成交量,Y
1,东证期货,98184,13861.0,2026-05-08,y2609,成交量,Y
2,中信期货,65543,13313.0,2026-05-08,y2609,成交量,Y
3,国泰君安,49027,8030.0,2026-05-08,y2609,成交量,Y
4,广发期货,36850,18987.0,2026-05-08,y2609,成交量,Y
5,中粮期货,27510,13446.0,2026-05-08,y2609,成交量,Y
6,光大期货,25334,-407.0,2026-05-08,y2609,成交量,Y
7,海通期货,17905,-2900.0,2026-05-08,y2609,成交量,Y
8,华泰期货,17276,3904.0,2026-05-08,y2609,成交量,Y
9,南华期货,17003,376.0,2026-05-08,y2609,成交量,Y
10,国投期货,15699,6973.0,2026-05-08,y2609,成交量,Y
11,永安期货,15143,569.0,2026-05-08,y2609,成交量,Y
12,银河期货,11951,-1774.0,2026-05-08,y2609,成交量,Y
13,国信期货,9459,1835.0,2026-05-08,y2609,成交量,Y
14,宏源期货,9273,2809.0,2026-05-08,y2609,成交量,Y
15,中信建投,7802,1611.0,2026-05-08,y2609,成交量,Y
16,弘业期货,7798,2673.0,2026-05-08,y2609,成交量,Y
17,一德期货,7763,3615.0,2026-05-08,y2609,成交量,Y
18,中泰期货,7725,2318.0,2026-05-08,y2609,成交量,Y
19,浙商期货,7471,-551.0,2026-05-08,y2609,成交量,Y
20,高盛期货,7012,-2540.0,2026-05-08,y2609,成交量,Y
