排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,11114,1301.0,2026-05-06,zn2606,多单持仓,ZN
2,东证期货,10513,1380.0,2026-05-06,zn2606,多单持仓,ZN
3,国泰君安,9749,-704.0,2026-05-06,zn2606,多单持仓,ZN
4,东亚期货,3520,-825.0,2026-05-06,zn2606,多单持仓,ZN
5,东吴期货,3097,-325.0,2026-05-06,zn2606,多单持仓,ZN
6,华泰期货,2719,-749.0,2026-05-06,zn2606,多单持仓,ZN
7,国信期货,2556,-616.0,2026-05-06,zn2606,多单持仓,ZN
8,南华期货,2119,-366.0,2026-05-06,zn2606,多单持仓,ZN
9,中粮期货,2003,-280.0,2026-05-06,zn2606,多单持仓,ZN
10,建信期货,1986,70.0,2026-05-06,zn2606,多单持仓,ZN
11,银河期货,1887,305.0,2026-05-06,zn2606,多单持仓,ZN
12,中金财富,1871,1212.0,2026-05-06,zn2606,多单持仓,ZN
13,五矿期货,1656,78.0,2026-05-06,zn2606,多单持仓,ZN
14,中信建投,1649,316.0,2026-05-06,zn2606,多单持仓,ZN
15,一德期货,1542,-677.0,2026-05-06,zn2606,多单持仓,ZN
16,中泰期货,1489,187.0,2026-05-06,zn2606,多单持仓,ZN
17,永安期货,1433,33.0,2026-05-06,zn2606,多单持仓,ZN
18,方正中期,1379,-159.0,2026-05-06,zn2606,多单持仓,ZN
19,申万期货,1351,-193.0,2026-05-06,zn2606,多单持仓,ZN
20,国联期货,1283,122.0,2026-05-06,zn2606,多单持仓,ZN
1,东证期货,11186,673.0,2026-05-07,zn2606,多单持仓,ZN
2,中信期货,11112,-2.0,2026-05-07,zn2606,多单持仓,ZN
3,国泰君安,9175,-574.0,2026-05-07,zn2606,多单持仓,ZN
4,东亚期货,3585,65.0,2026-05-07,zn2606,多单持仓,ZN
5,东吴期货,3020,-77.0,2026-05-07,zn2606,多单持仓,ZN
6,国信期货,2700,144.0,2026-05-07,zn2606,多单持仓,ZN
7,建信期货,2071,85.0,2026-05-07,zn2606,多单持仓,ZN
8,南华期货,1982,-137.0,2026-05-07,zn2606,多单持仓,ZN
9,中粮期货,1970,-33.0,2026-05-07,zn2606,多单持仓,ZN
10,五矿期货,1761,105.0,2026-05-07,zn2606,多单持仓,ZN
11,华泰期货,1741,-978.0,2026-05-07,zn2606,多单持仓,ZN
12,方正中期,1620,241.0,2026-05-07,zn2606,多单持仓,ZN
13,中金财富,1582,-289.0,2026-05-07,zn2606,多单持仓,ZN
14,中信建投,1547,-102.0,2026-05-07,zn2606,多单持仓,ZN
15,一德期货,1425,-117.0,2026-05-07,zn2606,多单持仓,ZN
16,瑞达期货,1338,66.0,2026-05-07,zn2606,多单持仓,ZN
17,申万期货,1313,-38.0,2026-05-07,zn2606,多单持仓,ZN
18,银河期货,1308,-579.0,2026-05-07,zn2606,多单持仓,ZN
19,永安期货,1255,-178.0,2026-05-07,zn2606,多单持仓,ZN
20,中泰期货,1253,-236.0,2026-05-07,zn2606,多单持仓,ZN
1,中信期货,11477,365.0,2026-05-08,zn2606,多单持仓,ZN
2,东证期货,9998,-1188.0,2026-05-08,zn2606,多单持仓,ZN
3,国泰君安,8967,-208.0,2026-05-08,zn2606,多单持仓,ZN
4,东亚期货,3205,-380.0,2026-05-08,zn2606,多单持仓,ZN
5,东吴期货,3026,6.0,2026-05-08,zn2606,多单持仓,ZN
6,国信期货,2820,120.0,2026-05-08,zn2606,多单持仓,ZN
7,南华期货,2160,178.0,2026-05-08,zn2606,多单持仓,ZN
8,建信期货,2112,41.0,2026-05-08,zn2606,多单持仓,ZN
9,华泰期货,1884,143.0,2026-05-08,zn2606,多单持仓,ZN
10,中粮期货,1859,-111.0,2026-05-08,zn2606,多单持仓,ZN
11,五矿期货,1854,93.0,2026-05-08,zn2606,多单持仓,ZN
12,中信建投,1799,252.0,2026-05-08,zn2606,多单持仓,ZN
13,中金财富,1613,31.0,2026-05-08,zn2606,多单持仓,ZN
14,银河期货,1545,237.0,2026-05-08,zn2606,多单持仓,ZN
15,方正中期,1512,-108.0,2026-05-08,zn2606,多单持仓,ZN
16,永安期货,1419,164.0,2026-05-08,zn2606,多单持仓,ZN
17,一德期货,1327,-98.0,2026-05-08,zn2606,多单持仓,ZN
18,瑞达期货,1244,-94.0,2026-05-08,zn2606,多单持仓,ZN
19,中泰期货,1241,-12.0,2026-05-08,zn2606,多单持仓,ZN
20,金瑞期货,1226,51.0,2026-05-08,zn2606,多单持仓,ZN
