排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,8427,-755.0,2026-05-06,zn2606,空单持仓,ZN
2,国泰君安,7162,-287.0,2026-05-06,zn2606,空单持仓,ZN
3,银河期货,6280,-316.0,2026-05-06,zn2606,空单持仓,ZN
4,建信期货,4709,126.0,2026-05-06,zn2606,空单持仓,ZN
5,国贸期货,3358,114.0,2026-05-06,zn2606,空单持仓,ZN
6,云晨期货,3358,171.0,2026-05-06,zn2606,空单持仓,ZN
7,国投期货,3124,-176.0,2026-05-06,zn2606,空单持仓,ZN
8,中粮期货,2891,479.0,2026-05-06,zn2606,空单持仓,ZN
9,东证期货,2689,-256.0,2026-05-06,zn2606,空单持仓,ZN
10,乾坤期货,2218,0.0,2026-05-06,zn2606,空单持仓,ZN
11,平安期货,2134,-90.0,2026-05-06,zn2606,空单持仓,ZN
12,新湖期货,1914,413.0,2026-05-06,zn2606,空单持仓,ZN
13,永安期货,1910,50.0,2026-05-06,zn2606,空单持仓,ZN
14,华泰期货,1776,-445.0,2026-05-06,zn2606,空单持仓,ZN
15,中金岭南,1634,-40.0,2026-05-06,zn2606,空单持仓,ZN
16,山金期货,1582,240.0,2026-05-06,zn2606,空单持仓,ZN
17,金瑞期货,1538,607.0,2026-05-06,zn2606,空单持仓,ZN
18,招商期货,1533,-150.0,2026-05-06,zn2606,空单持仓,ZN
19,申万期货,1520,110.0,2026-05-06,zn2606,空单持仓,ZN
20,华鑫期货,1452,253.0,2026-05-06,zn2606,空单持仓,ZN
1,中信期货,7984,-443.0,2026-05-07,zn2606,空单持仓,ZN
2,国泰君安,6793,-369.0,2026-05-07,zn2606,空单持仓,ZN
3,银河期货,5692,-588.0,2026-05-07,zn2606,空单持仓,ZN
4,建信期货,4626,-83.0,2026-05-07,zn2606,空单持仓,ZN
5,国贸期货,3668,310.0,2026-05-07,zn2606,空单持仓,ZN
6,云晨期货,3192,-166.0,2026-05-07,zn2606,空单持仓,ZN
7,中粮期货,3187,296.0,2026-05-07,zn2606,空单持仓,ZN
8,国投期货,3177,53.0,2026-05-07,zn2606,空单持仓,ZN
9,东证期货,2303,-386.0,2026-05-07,zn2606,空单持仓,ZN
10,永安期货,1948,38.0,2026-05-07,zn2606,空单持仓,ZN
11,新湖期货,1923,9.0,2026-05-07,zn2606,空单持仓,ZN
12,华泰期货,1859,83.0,2026-05-07,zn2606,空单持仓,ZN
13,乾坤期货,1811,-407.0,2026-05-07,zn2606,空单持仓,ZN
14,光大期货,1696,459.0,2026-05-07,zn2606,空单持仓,ZN
15,中金岭南,1683,49.0,2026-05-07,zn2606,空单持仓,ZN
16,山金期货,1673,91.0,2026-05-07,zn2606,空单持仓,ZN
17,招商期货,1645,112.0,2026-05-07,zn2606,空单持仓,ZN
18,申万期货,1586,66.0,2026-05-07,zn2606,空单持仓,ZN
19,平安期货,1571,-563.0,2026-05-07,zn2606,空单持仓,ZN
20,中金财富,1439,85.0,2026-05-07,zn2606,空单持仓,ZN
1,中信期货,8077,93.0,2026-05-08,zn2606,空单持仓,ZN
2,国泰君安,6945,152.0,2026-05-08,zn2606,空单持仓,ZN
3,银河期货,5456,-236.0,2026-05-08,zn2606,空单持仓,ZN
4,建信期货,4515,-111.0,2026-05-08,zn2606,空单持仓,ZN
5,国贸期货,3783,115.0,2026-05-08,zn2606,空单持仓,ZN
6,中粮期货,3411,224.0,2026-05-08,zn2606,空单持仓,ZN
7,国投期货,3189,12.0,2026-05-08,zn2606,空单持仓,ZN
8,云晨期货,2665,-527.0,2026-05-08,zn2606,空单持仓,ZN
9,东证期货,2549,246.0,2026-05-08,zn2606,空单持仓,ZN
10,华泰期货,2095,236.0,2026-05-08,zn2606,空单持仓,ZN
11,新湖期货,2071,148.0,2026-05-08,zn2606,空单持仓,ZN
12,山金期货,2052,379.0,2026-05-08,zn2606,空单持仓,ZN
13,永安期货,1873,-75.0,2026-05-08,zn2606,空单持仓,ZN
14,乾坤期货,1802,-9.0,2026-05-08,zn2606,空单持仓,ZN
15,光大期货,1763,67.0,2026-05-08,zn2606,空单持仓,ZN
16,申万期货,1707,121.0,2026-05-08,zn2606,空单持仓,ZN
17,中金岭南,1635,-48.0,2026-05-08,zn2606,空单持仓,ZN
18,平安期货,1580,9.0,2026-05-08,zn2606,空单持仓,ZN
19,华鑫期货,1410,89.0,2026-05-08,zn2606,空单持仓,ZN
20,紫金天风,1409,48.0,2026-05-08,zn2606,空单持仓,ZN
