排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,28235,5219.0,2026-05-06,zn2606,成交量,ZN
2,中信期货,26134,-11588.0,2026-05-06,zn2606,成交量,ZN
3,东证期货,22446,-3026.0,2026-05-06,zn2606,成交量,ZN
4,华泰期货,9618,1757.0,2026-05-06,zn2606,成交量,ZN
5,海通期货,8354,1547.0,2026-05-06,zn2606,成交量,ZN
6,华闻期货,7856,-7827.0,2026-05-06,zn2606,成交量,ZN
7,银河期货,5033,-878.0,2026-05-06,zn2606,成交量,ZN
8,中泰期货,4352,-586.0,2026-05-06,zn2606,成交量,ZN
9,方正中期,2714,648.0,2026-05-06,zn2606,成交量,ZN
10,南华期货,2578,-411.0,2026-05-06,zn2606,成交量,ZN
11,中金财富,2319,124.0,2026-05-06,zn2606,成交量,ZN
12,广发期货,1985,-93.0,2026-05-06,zn2606,成交量,ZN
13,招商期货,1932,579.0,2026-05-06,zn2606,成交量,ZN
14,瑞达期货,1725,-286.0,2026-05-06,zn2606,成交量,ZN
15,光大期货,1696,-1476.0,2026-05-06,zn2606,成交量,ZN
16,浙商期货,1680,-851.0,2026-05-06,zn2606,成交量,ZN
17,国贸期货,1658,-602.0,2026-05-06,zn2606,成交量,ZN
18,国盛期货,1623,-413.0,2026-05-06,zn2606,成交量,ZN
19,国信期货,1585,-673.0,2026-05-06,zn2606,成交量,ZN
20,一德期货,1511,-454.0,2026-05-06,zn2606,成交量,ZN
1,中信期货,28713,2579.0,2026-05-07,zn2606,成交量,ZN
2,国泰君安,26157,-2078.0,2026-05-07,zn2606,成交量,ZN
3,东证期货,25259,2813.0,2026-05-07,zn2606,成交量,ZN
4,华泰期货,9869,251.0,2026-05-07,zn2606,成交量,ZN
5,华闻期货,8996,1140.0,2026-05-07,zn2606,成交量,ZN
6,海通期货,7427,-927.0,2026-05-07,zn2606,成交量,ZN
7,南华期货,5236,2658.0,2026-05-07,zn2606,成交量,ZN
8,银河期货,5235,202.0,2026-05-07,zn2606,成交量,ZN
9,光大期货,2380,684.0,2026-05-07,zn2606,成交量,ZN
10,广发期货,2358,373.0,2026-05-07,zn2606,成交量,ZN
11,国贸期货,2234,576.0,2026-05-07,zn2606,成交量,ZN
12,东方财富,2051,1093.0,2026-05-07,zn2606,成交量,ZN
13,国信期货,1941,356.0,2026-05-07,zn2606,成交量,ZN
14,方正中期,1847,-867.0,2026-05-07,zn2606,成交量,ZN
15,中泰期货,1831,-2521.0,2026-05-07,zn2606,成交量,ZN
16,中辉期货,1808,672.0,2026-05-07,zn2606,成交量,ZN
17,国盛期货,1657,34.0,2026-05-07,zn2606,成交量,ZN
18,中信建投,1590,130.0,2026-05-07,zn2606,成交量,ZN
19,金瑞期货,1387,15.0,2026-05-07,zn2606,成交量,ZN
20,一德期货,1190,-321.0,2026-05-07,zn2606,成交量,ZN
1,中信期货,25880,-2833.0,2026-05-08,zn2606,成交量,ZN
2,东证期货,24800,-459.0,2026-05-08,zn2606,成交量,ZN
3,国泰君安,23956,-2201.0,2026-05-08,zn2606,成交量,ZN
4,华泰期货,14933,5064.0,2026-05-08,zn2606,成交量,ZN
5,华闻期货,7953,-1043.0,2026-05-08,zn2606,成交量,ZN
6,海通期货,5637,-1790.0,2026-05-08,zn2606,成交量,ZN
7,银河期货,3251,-1984.0,2026-05-08,zn2606,成交量,ZN
8,南华期货,3099,-2137.0,2026-05-08,zn2606,成交量,ZN
9,中泰期货,2803,972.0,2026-05-08,zn2606,成交量,ZN
10,国贸期货,1989,-245.0,2026-05-08,zn2606,成交量,ZN
11,广发期货,1926,-432.0,2026-05-08,zn2606,成交量,ZN
12,国信期货,1921,-20.0,2026-05-08,zn2606,成交量,ZN
13,东方财富,1802,-249.0,2026-05-08,zn2606,成交量,ZN
14,光大期货,1766,-614.0,2026-05-08,zn2606,成交量,ZN
15,国盛期货,1716,59.0,2026-05-08,zn2606,成交量,ZN
16,中信建投,1514,-76.0,2026-05-08,zn2606,成交量,ZN
17,方正中期,1445,-402.0,2026-05-08,zn2606,成交量,ZN
18,永安期货,1229,203.0,2026-05-08,zn2606,成交量,ZN
19,招商期货,1227,347.0,2026-05-08,zn2606,成交量,ZN
20,徽商期货,1214,127.0,2026-05-08,zn2606,成交量,ZN
