date,receipt,change
2025-07-28,6599,
2025-07-29,6499,
2025-07-30,2573,-3926.0
2025-07-31,0,-2573.0
2025-08-05,4450,
2025-08-06,7450,
2025-08-07,7450,0.0
2025-08-08,7450,0.0
2025-08-11,7450,0.0
2025-08-12,7450,0.0
2025-08-13,7450,0.0
2025-08-14,7450,0.0
2025-08-15,7450,0.0
2025-08-18,7450,0.0
2025-08-19,7450,0.0
2025-08-20,7450,0.0
2025-08-21,7450,0.0
2025-08-22,7450,0.0
2025-08-25,7450,0.0
2025-08-26,7450,0.0
2025-08-27,7450,0.0
2025-08-28,7450,0.0
2025-08-29,7450,0.0
2025-09-01,7450,0.0
2025-09-02,7450,0.0
2025-09-03,7450,0.0
2025-09-04,7450,0.0
2025-09-05,7450,0.0
2025-09-08,7450,0.0
2025-09-09,9406,1956.0
2025-09-10,9406,0.0
2025-09-11,9950,544.0
2025-09-12,9950,0.0
2025-09-15,9238,-712.0
2025-09-16,9217,-21.0
2025-09-17,9217,0.0
2025-09-18,8487,-730.0
2025-09-19,8330,-157.0
2025-09-22,8270,-60.0
2025-09-23,8270,0.0
2025-09-24,8250,-20.0
2025-09-25,8250,0.0
2025-09-26,8189,-61.0
2025-09-29,8189,0.0
2025-09-30,8028,-161.0
2025-10-09,8028,0.0
2025-10-10,8028,0.0
2025-10-13,12982,4954.0
2025-10-14,12938,-44.0
2025-10-15,12938,0.0
2025-10-16,12938,0.0
2025-10-17,12806,-132.0
2025-10-20,12756,-50.0
2025-10-21,12504,-252.0
2025-10-22,12504,0.0
2025-10-23,12504,0.0
2025-10-24,12504,0.0
2025-10-27,12504,0.0
2025-10-28,12504,0.0
2025-10-29,12504,0.0
2025-10-30,12504,0.0
2025-10-31,12504,0.0
2025-11-03,12453,-51.0
2025-11-04,12453,0.0
2025-11-05,12453,0.0
2025-11-06,12453,0.0
2025-11-07,12453,0.0
2025-11-10,12453,0.0
2025-11-11,12453,0.0
2025-11-12,12453,0.0
2025-11-13,12453,0.0
2025-11-14,12453,0.0
2026-01-28,11611,
2026-01-29,11611,0.0
2026-01-30,11611,0.0
2026-02-02,11161,-450.0
2026-02-03,11161,0.0
2026-02-04,11161,0.0
2026-02-05,11161,0.0
2026-02-06,11161,0.0
2026-02-09,11161,0.0
2026-02-10,11161,0.0
2026-02-11,11161,0.0
2026-02-12,11161,0.0
2026-02-13,11161,0.0
2026-02-24,11161,0.0
2026-02-25,11161,0.0
2026-02-26,11161,0.0
2026-02-27,11446,285.0
2026-03-02,12477,1031.0
2026-03-03,12500,23.0
2026-03-04,12500,0.0
2026-03-05,12500,0.0
2026-03-06,12010,-490.0
2026-03-09,12010,0.0
2026-03-10,6710,-5300.0
2026-03-11,6560,-150.0
2026-03-12,6560,0.0
2026-03-13,6560,0.0
2026-03-16,6560,0.0
2026-03-17,6255,-305.0
2026-03-18,6255,0.0
2026-03-19,4885,-1370.0
2026-03-20,4885,0.0
2026-03-23,4725,-160.0
2026-03-24,4725,0.0
2026-03-25,4725,0.0
2026-03-26,4675,-50.0
2026-03-27,4650,-25.0
2026-03-30,4510,-140.0
2026-03-31,0,-4510.0
2026-04-15,100,100.0
2026-04-16,100,0.0
2026-04-17,100,0.0
2026-04-20,100,0.0
2026-04-21,100,0.0
2026-04-22,800,700.0
2026-04-23,800,0.0
2026-04-24,800,0.0
2026-04-27,800,0.0
2026-04-28,800,0.0
2026-04-29,800,0.0
2026-04-30,800,0.0
2026-05-06,1800,1000.0
2026-05-07,4300,2500.0
2026-05-08,4300,0.0
