date,receipt,change
2025-06-03,125616,-10896.0
2025-06-04,127732,2116.0
2025-06-05,126748,-984.0
2025-06-06,129112,2364.0
2025-06-09,136968,7856.0
2025-06-10,134984,-1984.0
2025-06-11,133492,-1492.0
2025-06-12,131140,-2352.0
2025-06-13,145076,13936.0
2025-06-16,188204,43128.0
2025-06-17,218164,29960.0
2025-06-18,188056,-30108.0
2025-06-19,179264,-8792.0
2025-06-20,135528,-43736.0
2025-06-23,102112,-33416.0
2025-06-24,89700,-12412.0
2025-06-25,85880,-3820.0
2025-06-26,94784,8904.0
2025-06-27,101384,6600.0
2025-06-30,103404,2020.0
2025-07-01,99092,-4312.0
2025-07-02,100388,1296.0
2025-07-03,96412,-3976.0
2025-07-04,89228,-7184.0
2025-07-07,86728,-2500.0
2025-07-08,76436,-10292.0
2025-07-09,85344,8908.0
2025-07-10,86916,1572.0
2025-07-11,93228,6312.0
2025-07-14,137516,44288.0
2025-07-15,200532,63016.0
2025-07-16,200968,436.0
2025-07-17,168556,-32412.0
2025-07-18,152956,-15600.0
2025-07-21,112708,-40248.0
2025-07-22,102028,-10680.0
2025-07-23,62140,-39888.0
2025-07-24,64732,2592.0
2025-07-25,64532,-200.0
2025-07-28,17832,
2025-07-29,18083,
2025-07-30,19973,1890.0
2025-07-31,19622,-351.0
2025-08-01,20349,727.0
2025-08-04,20348,
2025-08-05,18767,-1581.0
2025-08-06,20346,
2025-08-07,20145,-201.0
2025-08-08,21272,1127.0
2025-08-11,23275,2003.0
2025-08-12,26296,3021.0
2025-08-13,22800,-3496.0
2025-08-14,24434,1634.0
2025-08-15,24560,126.0
2025-08-18,25498,938.0
2025-08-19,25498,0.0
2025-08-20,25223,-275.0
2025-08-21,25157,-66.0
2025-08-22,24148,-1009.0
2025-08-25,23747,-401.0
2025-08-26,22917,-830.0
2025-08-27,21287,-1630.0
2025-08-28,21232,-55.0
2025-08-29,21412,180.0
2025-09-01,20200,-1212.0
2025-09-02,19501,-699.0
2025-09-03,19471,-30.0
2025-09-04,19829,358.0
2025-09-05,18927,-902.0
2025-09-08,18926,-1.0
2025-09-09,19081,155.0
2025-09-10,19126,45.0
2025-09-11,20028,902.0
2025-09-12,25560,5532.0
2025-09-15,30643,5083.0
2025-09-16,33692,3049.0
2025-09-17,33291,-401.0
2025-09-18,32469,-822.0
2025-09-19,31838,-631.0
2025-09-22,29893,-1945.0
2025-09-23,27727,-2166.0
2025-09-24,27419,-308.0
2025-09-25,27662,243.0
2025-09-26,26557,-1105.0
2025-09-29,25603,-954.0
2025-09-30,26823,1220.0
2025-10-09,29703,2880.0
2025-10-10,29964,261.0
2025-10-13,32890,2926.0
2025-10-14,36295,3405.0
2025-10-15,44531,8236.0
2025-10-16,44406,-125.0
2025-10-17,42849,-1557.0
2025-10-20,41319,-1530.0
2025-10-21,37678,-3641.0
2025-10-22,36553,-1125.0
2025-10-23,36048,-505.0
2025-10-24,35071,-977.0
2025-10-27,35392,321.0
2025-10-28,35846,454.0
2025-10-29,35745,-101.0
2025-10-30,37437,1692.0
2025-10-31,39710,2273.0
2025-11-03,40066,356.0
2025-11-04,41147,1081.0
2025-11-05,42561,1414.0
2025-11-06,43893,1332.0
2025-11-07,43394,-499.0
2025-11-10,43789,395.0
2025-11-11,42964,-825.0
2025-11-12,44088,1124.0
2025-11-13,43957,-131.0
2025-11-14,49830,5873.0
2026-01-28,148038,
2026-01-29,151628,3590.0
2026-01-30,156851,5223.0
2026-02-02,158527,1676.0
2026-02-03,159021,494.0
2026-02-04,159772,751.0
2026-02-05,160679,907.0
2026-02-06,160172,-507.0
2026-02-09,157128,-3044.0
2026-02-10,165939,8811.0
2026-02-11,178897,12958.0
2026-02-12,187179,8282.0
2026-02-13,196680,9501.0
2026-02-24,277089,80409.0
2026-02-25,287806,10717.0
2026-02-26,289219,1413.0
2026-02-27,290594,1375.0
2026-03-02,295881,5287.0
2026-03-03,300505,4624.0
2026-03-04,302475,1970.0
2026-03-05,303632,1157.0
2026-03-06,315488,11856.0
2026-03-09,319087,3599.0
2026-03-10,319655,568.0
2026-03-11,320416,761.0
2026-03-12,326327,5911.0
2026-03-13,315063,-11264.0
2026-03-16,322998,7935.0
2026-03-17,324289,1291.0
2026-03-18,318624,-5665.0
2026-03-19,306380,-12244.0
2026-03-20,287852,-18528.0
2026-03-23,274115,-13737.0
2026-03-24,262710,-11405.0
2026-03-25,252111,-10599.0
2026-03-26,246441,-5670.0
2026-03-27,237076,-9365.0
2026-03-30,230971,-6105.0
2026-03-31,221261,-9710.0
2026-04-01,212893,-8368.0
2026-04-02,205418,-7475.0
2026-04-03,199305,-6113.0
2026-04-07,191225,-8080.0
2026-04-08,186023,-5202.0
2026-04-09,179834,-6189.0
2026-04-10,173576,-6258.0
2026-04-13,165352,-8224.0
2026-04-14,153913,-11439.0
2026-04-15,149416,-4497.0
2026-04-16,145813,-3603.0
2026-04-17,140339,-5474.0
2026-04-20,130577,-9762.0
2026-04-21,127491,-3086.0
2026-04-22,122528,-4963.0
2026-04-23,118497,-4031.0
2026-04-24,112043,-6454.0
2026-04-27,106371,-5672.0
2026-04-28,104062,-2309.0
2026-04-29,100789,-3273.0
2026-04-30,96664,-4125.0
2026-05-06,92999,-3665.0
2026-05-07,92441,-558.0
2026-05-08,89928,-2513.0
