date,receipt,change
2025-07-28,2168,
2025-07-29,2168,
2025-07-30,2168,0.0
2025-07-31,2168,0.0
2025-08-01,2968,800.0
2025-08-04,2968,
2025-08-05,2968,0.0
2025-08-06,2762,
2025-08-07,2762,0.0
2025-08-08,2072,-690.0
2025-08-11,2072,0.0
2025-08-12,2072,0.0
2025-08-13,2072,0.0
2025-08-14,2072,0.0
2025-08-15,2072,0.0
2025-08-18,2072,0.0
2025-08-19,2072,0.0
2025-08-20,2092,20.0
2025-08-21,2092,0.0
2025-08-22,2092,0.0
2025-08-25,2392,300.0
2025-08-26,2392,0.0
2025-08-27,2392,0.0
2025-08-28,2392,0.0
2025-08-29,2392,0.0
2025-09-01,5392,3000.0
2025-09-02,9422,4030.0
2025-09-03,9922,500.0
2025-09-04,9672,-250.0
2025-09-05,9372,-300.0
2025-09-08,9372,0.0
2025-09-09,9212,-160.0
2025-09-10,9192,-20.0
2025-09-11,9042,-150.0
2025-09-12,9142,100.0
2025-09-15,8944,-198.0
2025-09-16,8544,-400.0
2025-09-17,8544,0.0
2025-09-18,8235,-309.0
2025-09-19,8235,0.0
2025-09-22,8135,-100.0
2025-09-23,8135,0.0
2025-09-24,7779,-356.0
2025-09-25,7577,-202.0
2025-09-26,7477,-100.0
2025-09-29,7476,-1.0
2025-09-30,7476,0.0
2025-10-09,7476,0.0
2025-10-10,7476,0.0
2025-10-13,7476,0.0
2025-10-14,7776,300.0
2025-10-15,7776,0.0
2025-10-16,7776,0.0
2025-10-17,7776,0.0
2025-10-20,7776,0.0
2025-10-21,7966,190.0
2025-10-22,7945,-21.0
2025-10-23,7945,0.0
2025-10-24,7555,-390.0
2025-10-27,7555,0.0
2025-10-28,7555,0.0
2025-10-29,7555,0.0
2025-10-30,7555,0.0
2025-10-31,7555,0.0
2025-11-03,7555,0.0
2025-11-04,7555,0.0
2025-11-05,7555,0.0
2025-11-06,7555,0.0
2025-11-07,7555,0.0
2025-11-10,7555,0.0
2025-11-11,7505,-50.0
2025-11-12,7505,0.0
2025-11-13,7505,0.0
2025-11-14,7375,-130.0
2026-01-28,11642,
2026-01-29,11574,-68.0
2026-01-30,11304,-270.0
2026-02-02,11301,-3.0
2026-02-03,11301,0.0
2026-02-04,11261,-40.0
2026-02-05,11233,-28.0
2026-02-06,11233,0.0
2026-02-09,11233,0.0
2026-02-10,11223,-10.0
2026-02-11,12223,1000.0
2026-02-12,12203,-20.0
2026-02-13,12500,297.0
2026-02-24,12466,-34.0
2026-02-25,12416,-50.0
2026-02-26,12416,0.0
2026-02-27,11395,-1021.0
2026-03-02,11295,-100.0
2026-03-03,11838,543.0
2026-03-04,11404,-434.0
2026-03-05,11464,60.0
2026-03-06,11657,193.0
2026-03-09,11150,-507.0
2026-03-10,11079,-71.0
2026-03-11,11079,0.0
2026-03-12,11369,290.0
2026-03-13,11341,-28.0
2026-03-16,11097,-244.0
2026-03-17,10567,-530.0
2026-03-18,10344,-223.0
2026-03-19,9994,-350.0
2026-03-20,9881,-113.0
2026-03-23,9660,-221.0
2026-03-24,9360,-300.0
2026-03-25,9150,-210.0
2026-03-26,6886,-2264.0
2026-03-27,5146,-1740.0
2026-03-30,1856,-3290.0
2026-03-31,0,-1856.0
2026-04-01,1800,1800.0
2026-04-02,7500,5700.0
2026-04-03,7500,0.0
2026-04-07,7900,400.0
2026-04-08,8400,500.0
2026-04-09,8400,0.0
2026-04-10,8200,-200.0
2026-04-13,8200,0.0
2026-04-14,8200,0.0
2026-04-15,8100,-100.0
2026-04-16,8372,272.0
2026-04-17,8372,0.0
2026-04-20,8308,-64.0
2026-04-21,8179,-129.0
2026-04-22,8179,0.0
2026-04-23,8374,195.0
2026-04-24,7355,-1019.0
2026-04-27,7955,600.0
2026-04-28,7955,0.0
2026-04-29,9505,1550.0
2026-04-30,9355,-150.0
2026-05-06,8680,-675.0
2026-05-07,8680,0.0
2026-05-08,9653,973.0
