date,receipt,change
2025-07-28,3400,
2025-07-29,3400,
2025-07-30,3400,0.0
2025-07-31,3600,200.0
2025-08-01,3600,0.0
2025-08-04,3600,
2025-08-05,3600,0.0
2025-08-06,3900,
2025-08-07,3900,0.0
2025-08-08,3900,0.0
2025-08-11,3400,-500.0
2025-08-12,3200,-200.0
2025-08-13,3600,400.0
2025-08-14,3400,-200.0
2025-08-15,3100,-300.0
2025-08-18,2600,-500.0
2025-08-19,2500,-100.0
2025-08-20,2000,-500.0
2025-08-21,2000,0.0
2025-08-22,2000,0.0
2025-08-25,2000,0.0
2025-08-26,2000,0.0
2025-08-27,2000,0.0
2025-08-28,1900,-100.0
2025-08-29,1900,0.0
2025-09-01,1900,0.0
2025-09-02,1900,0.0
2025-09-03,1900,0.0
2025-09-04,1900,0.0
2025-09-05,1900,0.0
2025-09-08,1900,0.0
2025-09-09,1900,0.0
2025-09-10,2000,100.0
2025-09-11,2000,0.0
2025-09-12,1900,-100.0
2025-09-15,1900,0.0
2025-09-16,1900,0.0
2025-09-17,1800,-100.0
2025-09-18,1700,-100.0
2025-09-19,1700,0.0
2025-09-22,2000,300.0
2025-09-23,2000,0.0
2025-09-24,2000,0.0
2025-09-25,2000,0.0
2025-09-26,2000,0.0
2025-09-29,700,-1300.0
2025-09-30,0,-700.0
2025-10-09,500,500.0
2025-10-10,800,300.0
2025-10-13,800,0.0
2025-10-14,800,0.0
2025-10-15,700,-100.0
2025-10-16,700,0.0
2025-10-17,1400,700.0
2025-10-20,1200,-200.0
2025-10-21,1000,-200.0
2025-10-22,700,-300.0
2025-10-23,700,0.0
2025-10-24,700,0.0
2025-10-27,700,0.0
2025-10-28,700,0.0
2025-10-29,600,-100.0
2025-10-30,600,0.0
2025-10-31,600,0.0
2025-11-03,1000,400.0
2025-11-04,1000,0.0
2025-11-05,1000,0.0
2025-11-06,1000,0.0
2025-11-07,800,-200.0
2025-11-10,800,0.0
2025-11-11,800,0.0
2025-11-12,800,0.0
2025-11-13,900,100.0
2025-11-14,900,0.0
2026-01-28,1100,
2026-01-29,1100,0.0
2026-01-30,1100,0.0
2026-02-02,1100,0.0
2026-02-03,2900,1800.0
2026-02-04,2900,0.0
2026-02-05,2900,0.0
2026-02-06,2900,0.0
2026-02-09,2900,0.0
2026-02-10,2900,0.0
2026-02-11,2900,0.0
2026-02-12,2900,0.0
2026-02-13,2900,0.0
2026-02-24,2900,0.0
2026-02-25,2900,0.0
2026-02-26,2900,0.0
2026-02-27,2900,0.0
2026-03-02,2900,0.0
2026-03-03,2900,0.0
2026-03-04,3100,200.0
2026-03-05,2600,-500.0
2026-03-06,2600,0.0
2026-03-09,2600,0.0
2026-03-10,2900,300.0
2026-03-11,2900,0.0
2026-03-12,3200,300.0
2026-03-13,3200,0.0
2026-03-16,2800,-400.0
2026-03-17,3400,600.0
2026-03-18,3400,0.0
2026-03-19,3400,0.0
2026-03-20,3400,0.0
2026-03-23,3400,0.0
2026-03-24,3200,-200.0
2026-03-25,3200,0.0
2026-03-26,3200,0.0
2026-03-27,3200,0.0
2026-03-30,2700,-500.0
2026-03-31,0,-2700.0
2026-04-01,3300,3300.0
2026-04-02,3700,400.0
2026-04-03,3700,0.0
2026-04-07,3900,200.0
2026-04-08,3550,-350.0
2026-04-09,3450,-100.0
2026-04-10,3450,0.0
2026-04-13,4150,700.0
2026-04-14,4050,-100.0
2026-04-15,4050,0.0
2026-04-16,3650,-400.0
2026-04-17,3650,0.0
2026-04-20,3650,0.0
2026-04-21,3550,-100.0
2026-04-22,3850,300.0
2026-04-23,3750,-100.0
2026-04-24,3750,0.0
2026-04-27,3650,-100.0
2026-04-28,3650,0.0
2026-04-29,3650,0.0
2026-04-30,3650,0.0
2026-05-06,3650,0.0
2026-05-07,3450,-200.0
2026-05-08,3300,-150.0
