date,receipt,change
2025-08-11,100,
2025-08-12,800,700.0
2025-08-13,800,0.0
2025-08-14,800,0.0
2025-08-15,0,-800.0
2025-09-01,300,300.0
2025-09-02,900,600.0
2025-09-03,1700,800.0
2025-09-04,1900,200.0
2025-09-05,1500,-400.0
2025-09-08,2000,500.0
2025-09-09,1500,-500.0
2025-09-10,1300,-200.0
2025-09-11,500,-800.0
2025-09-12,500,0.0
2025-09-15,600,100.0
2025-09-16,600,0.0
2025-09-17,600,0.0
2025-09-18,200,-400.0
2025-09-19,100,-100.0
2025-09-22,0,-100.0
2025-10-10,200,200.0
2025-10-13,200,0.0
2025-10-14,200,0.0
2025-10-15,200,0.0
2025-10-16,200,0.0
2025-10-17,200,0.0
2025-10-20,200,0.0
2025-10-21,200,0.0
2025-10-22,200,0.0
2025-10-23,100,-100.0
2025-10-24,100,0.0
2025-10-27,100,0.0
2025-10-28,0,-100.0
2025-11-03,500,500.0
2025-11-04,900,400.0
2025-11-05,900,0.0
2025-11-06,400,-500.0
2025-11-07,100,-300.0
2025-11-10,200,100.0
2025-11-11,200,0.0
2025-11-12,200,0.0
2025-11-13,100,-100.0
2025-11-14,100,0.0
2026-02-04,100,
2026-02-05,100,0.0
2026-02-06,400,300.0
2026-02-09,700,300.0
2026-02-10,1700,1000.0
2026-02-11,2000,300.0
2026-02-12,1700,-300.0
2026-02-13,700,-1000.0
2026-02-24,400,-300.0
2026-02-25,300,-100.0
2026-02-26,0,-300.0
2026-03-03,200,200.0
2026-03-04,200,0.0
2026-03-05,200,0.0
2026-03-06,0,-200.0
2026-03-10,300,300.0
2026-03-11,600,300.0
2026-03-12,800,200.0
2026-03-13,800,0.0
2026-03-16,700,-100.0
2026-03-17,300,-400.0
2026-03-18,300,0.0
2026-03-19,0,-300.0
2026-04-08,200,200.0
2026-04-09,297,97.0
2026-04-10,297,0.0
2026-04-13,653,356.0
2026-04-14,653,0.0
2026-04-15,556,-97.0
2026-04-16,356,-200.0
2026-04-17,0,-356.0
2026-04-30,50,50.0
2026-05-06,50,0.0
2026-05-07,2650,2600.0
2026-05-08,2450,-200.0
