date,receipt,change
2025-07-28,5816,
2025-07-29,5816,
2025-07-30,5816,0.0
2025-07-31,5816,0.0
2025-08-01,5816,0.0
2025-08-04,5816,
2025-08-05,5816,0.0
2025-08-06,5882,
2025-08-07,5882,0.0
2025-08-08,5882,0.0
2025-08-11,6282,400.0
2025-08-12,6302,20.0
2025-08-13,6988,686.0
2025-08-14,7345,357.0
2025-08-15,7345,0.0
2025-08-18,7345,0.0
2025-08-19,7724,379.0
2025-08-20,7684,-40.0
2025-08-21,7684,0.0
2025-08-22,7684,0.0
2025-08-25,7684,0.0
2025-08-26,7669,-15.0
2025-08-27,7669,0.0
2025-08-28,7669,0.0
2025-08-29,8067,398.0
2025-09-01,8067,0.0
2025-09-02,8263,196.0
2025-09-03,8263,0.0
2025-09-04,8263,0.0
2025-09-05,8263,0.0
2025-09-08,8263,0.0
2025-09-09,8411,148.0
2025-09-10,9298,887.0
2025-09-11,11993,2695.0
2025-09-12,12525,532.0
2025-09-15,12736,211.0
2025-09-16,12736,0.0
2025-09-17,12736,0.0
2025-09-18,12736,0.0
2025-09-19,12736,0.0
2025-09-22,12736,0.0
2025-09-23,12736,0.0
2025-09-24,12736,0.0
2025-09-25,12736,0.0
2025-09-26,12736,0.0
2025-09-29,12736,0.0
2025-09-30,12736,0.0
2025-10-09,12729,-7.0
2025-10-10,12795,66.0
2025-10-13,12729,-66.0
2025-10-14,12717,-12.0
2025-10-15,12707,-10.0
2025-10-16,12707,0.0
2025-10-17,12685,-22.0
2025-10-20,12675,-10.0
2025-10-21,12970,295.0
2025-10-22,12964,-6.0
2025-10-23,12958,-6.0
2025-10-24,12958,0.0
2025-10-27,12958,0.0
2025-10-28,12745,-213.0
2025-10-29,12745,0.0
2025-10-30,12745,0.0
2025-10-31,12706,-39.0
2025-11-03,12675,-31.0
2025-11-04,12675,0.0
2025-11-05,12669,-6.0
2025-11-06,12669,0.0
2025-11-07,12669,0.0
2025-11-10,12135,-534.0
2025-11-11,12073,-62.0
2025-11-12,12067,-6.0
2025-11-13,12067,0.0
2025-11-14,12067,0.0
2026-01-28,9498,
2026-01-29,9398,-100.0
2026-01-30,9379,-19.0
2026-02-02,9308,-71.0
2026-02-03,9428,120.0
2026-02-04,9428,0.0
2026-02-05,9428,0.0
2026-02-06,9428,0.0
2026-02-09,9428,0.0
2026-02-10,9428,0.0
2026-02-11,9428,0.0
2026-02-12,9428,0.0
2026-02-13,9428,0.0
2026-02-24,9428,0.0
2026-02-25,9428,0.0
2026-02-26,9428,0.0
2026-02-27,9428,0.0
2026-03-02,9343,-85.0
2026-03-03,9010,-333.0
2026-03-04,8950,-60.0
2026-03-05,8709,-241.0
2026-03-06,8709,0.0
2026-03-09,8231,-478.0
2026-03-10,8231,0.0
2026-03-11,8231,0.0
2026-03-12,8101,-130.0
2026-03-13,7901,-200.0
2026-03-16,7851,-50.0
2026-03-17,7851,0.0
2026-03-18,7851,0.0
2026-03-19,7081,-770.0
2026-03-20,6401,-680.0
2026-03-23,6371,-30.0
2026-03-24,4666,-1705.0
2026-03-25,4652,-14.0
2026-03-26,4429,-223.0
2026-03-27,3723,-706.0
2026-03-30,2211,-1512.0
2026-03-31,0,-2211.0
2026-04-01,40,40.0
2026-04-02,530,490.0
2026-04-03,520,-10.0
2026-04-07,490,-30.0
2026-04-08,1496,1006.0
2026-04-09,2878,1382.0
2026-04-10,5028,2150.0
2026-04-13,6408,1380.0
2026-04-14,7748,1340.0
2026-04-15,7784,36.0
2026-04-16,8004,220.0
2026-04-17,8004,0.0
2026-04-20,8004,0.0
2026-04-21,8032,28.0
2026-04-22,8072,40.0
2026-04-23,8766,694.0
2026-04-24,10024,1258.0
2026-04-27,11257,1233.0
2026-04-28,11336,79.0
2026-04-29,12536,1200.0
2026-04-30,12593,57.0
2026-05-06,12867,274.0
2026-05-07,12904,37.0
2026-05-08,12757,-147.0
