date,receipt,change
2025-07-28,284,
2025-07-29,205,
2025-07-30,0,-205.0
2025-08-01,300,300.0
2025-08-04,300,
2025-08-05,300,0.0
2025-08-06,380,
2025-08-07,380,0.0
2025-08-08,380,0.0
2025-08-11,410,30.0
2025-08-12,410,0.0
2025-08-13,430,20.0
2025-08-14,430,0.0
2025-08-15,430,0.0
2025-08-18,430,0.0
2025-08-19,430,0.0
2025-08-20,430,0.0
2025-08-21,430,0.0
2025-08-22,430,0.0
2025-08-25,430,0.0
2025-08-26,430,0.0
2025-08-27,430,0.0
2025-08-28,430,0.0
2025-08-29,430,0.0
2025-09-01,430,0.0
2025-09-02,430,0.0
2025-09-03,430,0.0
2025-09-04,430,0.0
2025-09-05,430,0.0
2025-09-08,430,0.0
2025-09-09,428,-2.0
2025-09-10,428,0.0
2025-09-11,428,0.0
2025-09-12,428,0.0
2025-09-15,428,0.0
2025-09-16,428,0.0
2025-09-17,428,0.0
2025-09-18,428,0.0
2025-09-19,428,0.0
2025-09-22,428,0.0
2025-09-23,427,-1.0
2025-09-24,368,-59.0
2025-09-25,328,-40.0
2025-09-26,298,-30.0
2025-09-29,0,-298.0
2025-10-13,90,90.0
2025-10-14,90,0.0
2025-10-15,111,21.0
2025-10-16,111,0.0
2025-10-17,111,0.0
2025-10-20,111,0.0
2025-10-21,111,0.0
2025-10-22,111,0.0
2025-10-23,111,0.0
2025-10-24,206,95.0
2025-10-27,206,0.0
2025-10-28,206,0.0
2025-10-29,206,0.0
2025-10-30,206,0.0
2025-10-31,206,0.0
2025-11-03,185,-21.0
2025-11-04,185,0.0
2025-11-05,90,-95.0
2025-11-06,90,0.0
2025-11-07,90,0.0
2025-11-10,90,0.0
2025-11-11,90,0.0
2025-11-12,90,0.0
2025-11-13,90,0.0
2025-11-14,90,0.0
2026-01-28,426,
2026-01-29,426,0.0
2026-01-30,0,-426.0
2026-02-03,100,100.0
2026-02-04,647,547.0
2026-02-05,647,0.0
2026-02-06,647,0.0
2026-02-09,727,80.0
2026-02-10,727,0.0
2026-02-11,727,0.0
2026-02-12,1027,300.0
2026-02-13,1027,0.0
2026-02-24,1156,129.0
2026-02-25,1156,0.0
2026-02-26,1156,0.0
2026-02-27,1156,0.0
2026-03-02,1156,0.0
2026-03-03,1156,0.0
2026-03-04,1150,-6.0
2026-03-05,1150,0.0
2026-03-06,1150,0.0
2026-03-09,1150,0.0
2026-03-10,1150,0.0
2026-03-11,1140,-10.0
2026-03-12,1133,-7.0
2026-03-13,1133,0.0
2026-03-16,1132,-1.0
2026-03-17,1132,0.0
2026-03-18,1052,-80.0
2026-03-19,1051,-1.0
2026-03-20,1051,0.0
2026-03-23,1051,0.0
2026-03-24,1032,-19.0
2026-03-25,1009,-23.0
2026-03-26,1009,0.0
2026-03-27,483,-526.0
2026-03-30,441,-42.0
2026-03-31,0,-441.0
2026-04-01,525,525.0
2026-04-02,525,0.0
2026-04-03,525,0.0
2026-04-07,525,0.0
2026-04-08,625,100.0
2026-04-09,625,0.0
2026-04-10,625,0.0
2026-04-13,1225,600.0
2026-04-14,1225,0.0
2026-04-15,1225,0.0
2026-04-16,1250,25.0
2026-04-17,1210,-40.0
2026-04-20,1250,40.0
2026-04-21,1325,75.0
2026-04-22,1325,0.0
2026-04-23,1435,110.0
2026-04-24,1435,0.0
2026-04-27,1435,0.0
2026-04-28,1585,150.0
2026-04-29,1585,0.0
2026-04-30,1585,0.0
2026-05-06,1585,0.0
2026-05-07,1475,-110.0
2026-05-08,1465,-10.0
