date,receipt,change
2025-06-03,66114,-57.0
2025-06-04,66897,783.0
2025-06-05,66753,-144.0
2025-06-06,63471,-3282.0
2025-06-09,63576,105.0
2025-06-10,63123,-453.0
2025-06-11,63339,216.0
2025-06-12,63123,-216.0
2025-06-13,65295,2172.0
2025-06-16,67050,1755.0
2025-06-17,66723,-327.0
2025-06-18,66417,-306.0
2025-06-19,65295,-1122.0
2025-06-20,65007,-288.0
2025-06-23,64434,-573.0
2025-06-24,64743,309.0
2025-06-25,64077,-666.0
2025-06-26,63789,-288.0
2025-06-27,63771,-18.0
2025-06-30,63663,-108.0
2025-07-01,63411,-252.0
2025-07-02,63411,0.0
2025-07-03,63195,-216.0
2025-07-04,63177,-18.0
2025-07-07,62496,-681.0
2025-07-08,62499,3.0
2025-07-09,62031,-468.0
2025-07-10,61815,-216.0
2025-07-11,61326,-489.0
2025-07-14,63888,2562.0
2025-07-15,64665,777.0
2025-07-16,63147,-1518.0
2025-07-17,62874,-273.0
2025-07-18,64680,1806.0
2025-07-21,66333,1653.0
2025-07-22,66279,-54.0
2025-07-23,65913,-366.0
2025-07-24,65913,0.0
2025-07-25,65841,-72.0
2025-07-28,21953,
2025-07-29,21880,
2025-07-30,21759,-121.0
2025-07-31,21705,-54.0
2025-08-01,21374,-331.0
2025-08-04,21170,
2025-08-05,20923,-247.0
2025-08-06,20789,
2025-08-07,20687,-102.0
2025-08-08,20621,-66.0
2025-08-11,20723,102.0
2025-08-12,20693,-30.0
2025-08-13,20578,-115.0
2025-08-14,20720,142.0
2025-08-15,22141,1421.0
2025-08-18,23051,910.0
2025-08-19,22841,-210.0
2025-08-20,22559,-282.0
2025-08-21,22588,29.0
2025-08-22,22552,-36.0
2025-08-25,22292,-260.0
2025-08-26,22086,-206.0
2025-08-27,22025,-61.0
2025-08-28,22013,-12.0
2025-08-29,21905,-108.0
2025-09-01,21773,-132.0
2025-09-02,21956,183.0
2025-09-03,21860,-96.0
2025-09-04,21739,-121.0
2025-09-05,21678,-61.0
2025-09-08,22772,1094.0
2025-09-09,22599,-173.0
2025-09-10,22304,-295.0
2025-09-11,22111,-193.0
2025-09-12,23529,1418.0
2025-09-15,24959,1430.0
2025-09-16,26167,1208.0
2025-09-17,26141,-26.0
2025-09-18,25866,-275.0
2025-09-19,25843,-23.0
2025-09-22,25536,-307.0
2025-09-23,25464,-72.0
2025-09-24,24971,-493.0
2025-09-25,25105,134.0
2025-09-26,25153,48.0
2025-09-29,25057,-96.0
2025-09-30,24817,-240.0
2025-10-09,24775,-42.0
2025-10-10,25228,453.0
2025-10-13,25272,44.0
2025-10-14,25027,-245.0
2025-10-15,26558,1531.0
2025-10-16,26474,-84.0
2025-10-17,27042,568.0
2025-10-20,26868,-174.0
2025-10-21,27026,158.0
2025-10-22,26953,-73.0
2025-10-23,26881,-72.0
2025-10-24,26810,-71.0
2025-10-27,29780,2970.0
2025-10-28,31385,1605.0
2025-10-29,31433,48.0
2025-10-30,31532,99.0
2025-10-31,31388,-144.0
2025-11-03,31206,-182.0
2025-11-04,30952,-254.0
2025-11-05,32929,1977.0
2025-11-06,32689,-240.0
2025-11-07,32634,-55.0
2025-11-10,32533,-101.0
2025-11-11,32292,-241.0
2025-11-12,31824,-468.0
2025-11-13,32694,870.0
2025-11-14,35027,2333.0
2026-01-28,44822,
2026-01-29,46854,2032.0
2026-01-30,46876,22.0
2026-02-02,46574,-302.0
2026-02-03,48180,1606.0
2026-02-04,48072,-108.0
2026-02-05,50464,2392.0
2026-02-06,51274,810.0
2026-02-09,51721,447.0
2026-02-10,52039,318.0
2026-02-11,52027,-12.0
2026-02-12,52027,0.0
2026-02-13,52458,431.0
2026-02-24,51924,-534.0
2026-02-25,53177,1253.0
2026-02-26,53158,-19.0
2026-02-27,53131,-27.0
2026-03-02,53721,590.0
2026-03-03,53649,-72.0
2026-03-04,53632,-17.0
2026-03-05,53567,-65.0
2026-03-06,53568,1.0
2026-03-09,53897,329.0
2026-03-10,54650,753.0
2026-03-11,54341,-309.0
2026-03-12,53904,-437.0
2026-03-13,56462,2558.0
2026-03-16,57307,845.0
2026-03-17,57247,-60.0
2026-03-18,57194,-53.0
2026-03-19,56899,-295.0
2026-03-20,56690,-209.0
2026-03-23,57632,942.0
2026-03-24,58006,374.0
2026-03-25,57605,-401.0
2026-03-26,57593,-12.0
2026-03-27,57069,-524.0
2026-03-30,57173,104.0
2026-03-31,57858,685.0
2026-04-01,57841,-17.0
2026-04-02,59922,2081.0
2026-04-03,59982,60.0
2026-04-07,60902,920.0
2026-04-08,60946,44.0
2026-04-09,61457,511.0
2026-04-10,61536,79.0
2026-04-13,61963,427.0
2026-04-14,62197,234.0
2026-04-15,62065,-132.0
2026-04-16,63896,1831.0
2026-04-17,64209,313.0
2026-04-20,64083,-126.0
2026-04-21,66243,2160.0
2026-04-22,66722,479.0
2026-04-23,66788,66.0
2026-04-24,66728,-60.0
2026-04-27,67292,564.0
2026-04-28,67551,259.0
2026-04-29,69491,1940.0
2026-04-30,69659,168.0
2026-05-06,69875,216.0
2026-05-07,70394,519.0
2026-05-08,70388,-6.0
