date,receipt,change
2025-07-28,9804,
2025-07-29,9804,
2025-07-30,9804,0.0
2025-07-31,9804,0.0
2025-08-01,9759,-45.0
2025-08-04,9759,
2025-08-05,9749,-10.0
2025-08-06,9719,
2025-08-07,10199,480.0
2025-08-08,10179,-20.0
2025-08-11,10694,515.0
2025-08-12,12974,2280.0
2025-08-13,12953,-21.0
2025-08-14,12948,-5.0
2025-08-15,12888,-60.0
2025-08-18,12878,-10.0
2025-08-19,13318,440.0
2025-08-20,13298,-20.0
2025-08-21,13283,-15.0
2025-08-22,12887,-396.0
2025-08-25,13307,420.0
2025-08-26,13267,-40.0
2025-08-27,13242,-25.0
2025-08-28,13227,-15.0
2025-08-29,13207,-20.0
2025-09-01,13187,-20.0
2025-09-02,13128,-59.0
2025-09-03,13118,-10.0
2025-09-04,13088,-30.0
2025-09-05,13008,-80.0
2025-09-08,13008,0.0
2025-09-09,13008,0.0
2025-09-10,13003,-5.0
2025-09-11,13003,0.0
2025-09-12,13002,-1.0
2025-09-15,13002,0.0
2025-09-16,13002,0.0
2025-09-17,13002,0.0
2025-09-18,12974,-28.0
2025-09-19,12974,0.0
2025-09-22,12974,0.0
2025-09-23,12496,-478.0
2025-09-24,14527,2031.0
2025-09-25,14527,0.0
2025-09-26,14327,-200.0
2025-09-29,12916,-1411.0
2025-09-30,0,-12916.0
2025-10-17,2300,2300.0
2025-10-20,2300,0.0
2025-10-21,2300,0.0
2025-10-22,2300,0.0
2025-10-23,2416,116.0
2025-10-24,2416,0.0
2025-10-27,2416,0.0
2025-10-28,2416,0.0
2025-10-29,3096,680.0
2025-10-30,3811,715.0
2025-10-31,4194,383.0
2025-11-03,4194,0.0
2025-11-04,4194,0.0
2025-11-05,4194,0.0
2025-11-06,4194,0.0
2025-11-07,4444,250.0
2025-11-10,4444,0.0
2025-11-11,4444,0.0
2025-11-12,4615,171.0
2025-11-13,4615,0.0
2025-11-14,4615,0.0
2026-01-28,5867,
2026-01-29,5867,0.0
2026-01-30,5867,0.0
2026-02-02,5867,0.0
2026-02-03,6867,1000.0
2026-02-04,6867,0.0
2026-02-05,6902,35.0
2026-02-06,6902,0.0
2026-02-09,6932,30.0
2026-02-10,6762,-170.0
2026-02-11,6762,0.0
2026-02-12,6762,0.0
2026-02-13,6762,0.0
2026-02-24,6679,-83.0
2026-02-25,6679,0.0
2026-02-26,6679,0.0
2026-02-27,6679,0.0
2026-03-02,5679,-1000.0
2026-03-03,5679,0.0
2026-03-04,5659,-20.0
2026-03-05,5652,-7.0
2026-03-06,4652,-1000.0
2026-03-09,4604,-48.0
2026-03-10,5376,772.0
2026-03-11,3108,-2268.0
2026-03-12,3108,0.0
2026-03-13,3108,0.0
2026-03-16,1800,-1308.0
2026-03-17,1800,0.0
2026-03-18,1800,0.0
2026-03-19,1800,0.0
2026-03-20,3100,1300.0
2026-03-23,3100,0.0
2026-03-24,3100,0.0
2026-03-25,3100,0.0
2026-03-26,1300,-1800.0
2026-03-27,1300,0.0
2026-03-30,1300,0.0
2026-03-31,0,-1300.0
2026-04-20,497,497.0
2026-04-21,497,0.0
2026-04-22,497,0.0
2026-04-23,497,0.0
2026-04-24,497,0.0
2026-04-27,729,232.0
2026-04-28,729,0.0
2026-04-29,729,0.0
2026-04-30,729,0.0
2026-05-06,729,0.0
2026-05-07,1005,276.0
2026-05-08,1169,164.0
