date,receipt,change
2025-07-28,12695,
2025-07-29,12895,
2025-07-30,12695,-200.0
2025-07-31,12625,-70.0
2025-08-01,12625,0.0
2025-08-04,12305,
2025-08-05,12305,0.0
2025-08-06,12585,
2025-08-07,12565,-20.0
2025-08-08,12540,-25.0
2025-08-11,12540,0.0
2025-08-12,12540,0.0
2025-08-13,12740,200.0
2025-08-14,12860,120.0
2025-08-15,12860,0.0
2025-08-18,12860,0.0
2025-08-19,14040,1180.0
2025-08-20,13940,-100.0
2025-08-21,13940,0.0
2025-08-22,14055,115.0
2025-08-25,14055,0.0
2025-08-26,14055,0.0
2025-08-27,14055,0.0
2025-08-28,14055,0.0
2025-08-29,12925,-1130.0
2025-09-01,14130,1205.0
2025-09-02,14130,0.0
2025-09-03,13802,-328.0
2025-09-04,13795,-7.0
2025-09-05,13699,-96.0
2025-09-08,13723,24.0
2025-09-09,13813,90.0
2025-09-10,13749,-64.0
2025-09-11,13749,0.0
2025-09-12,13706,-43.0
2025-09-15,13706,0.0
2025-09-16,13706,0.0
2025-09-17,13706,0.0
2025-09-18,13676,-30.0
2025-09-19,13499,-177.0
2025-09-22,13477,-22.0
2025-09-23,13413,-64.0
2025-09-24,14158,745.0
2025-09-25,14118,-40.0
2025-09-26,14118,0.0
2025-09-29,14098,-20.0
2025-09-30,14098,0.0
2025-10-09,14030,-68.0
2025-10-10,13970,-60.0
2025-10-13,13970,0.0
2025-10-14,13814,-156.0
2025-10-15,13814,0.0
2025-10-16,13778,-36.0
2025-10-17,14313,535.0
2025-10-20,14656,343.0
2025-10-21,14586,-70.0
2025-10-22,14586,0.0
2025-10-23,14586,0.0
2025-10-24,14586,0.0
2025-10-27,14586,0.0
2025-10-28,14573,-13.0
2025-10-29,14569,-4.0
2025-10-30,14569,0.0
2025-10-31,14569,0.0
2025-11-03,14569,0.0
2025-11-04,14569,0.0
2025-11-05,14629,60.0
2025-11-06,14629,0.0
2025-11-07,14629,0.0
2025-11-10,14629,0.0
2025-11-11,14629,0.0
2025-11-12,14642,13.0
2025-11-13,14642,0.0
2025-11-14,14642,0.0
2026-01-28,17250,
2026-01-29,17236,-14.0
2026-01-30,17236,0.0
2026-02-02,17223,-13.0
2026-02-03,17223,0.0
2026-02-04,17223,0.0
2026-02-05,17204,-19.0
2026-02-06,17204,0.0
2026-02-09,17195,-9.0
2026-02-10,17268,73.0
2026-02-11,17294,26.0
2026-02-12,18679,1385.0
2026-02-13,18679,0.0
2026-02-24,18679,0.0
2026-02-25,21679,3000.0
2026-02-26,21679,0.0
2026-02-27,21531,-148.0
2026-03-02,21531,0.0
2026-03-03,21531,0.0
2026-03-04,20844,-687.0
2026-03-05,18584,-2260.0
2026-03-06,18384,-200.0
2026-03-09,19716,1332.0
2026-03-10,19509,-207.0
2026-03-11,19809,300.0
2026-03-12,19667,-142.0
2026-03-13,19427,-240.0
2026-03-16,19427,0.0
2026-03-17,17670,-1757.0
2026-03-18,17610,-60.0
2026-03-19,15710,-1900.0
2026-03-20,16051,341.0
2026-03-23,15927,-124.0
2026-03-24,15727,-200.0
2026-03-25,13293,-2434.0
2026-03-26,13013,-280.0
2026-03-27,7597,-5416.0
2026-03-30,1644,-5953.0
2026-03-31,0,-1644.0
2026-04-01,3665,3665.0
2026-04-02,3665,0.0
2026-04-03,6195,2530.0
2026-04-07,6221,26.0
2026-04-08,8752,2531.0
2026-04-09,8979,227.0
2026-04-10,9725,746.0
2026-04-13,10400,675.0
2026-04-14,11100,700.0
2026-04-15,11740,640.0
2026-04-16,11740,0.0
2026-04-17,11527,-213.0
2026-04-20,11027,-500.0
2026-04-21,15895,4868.0
2026-04-22,15630,-265.0
2026-04-23,16846,1216.0
2026-04-24,16356,-490.0
2026-04-27,16151,-205.0
2026-04-28,16151,0.0
2026-04-29,16271,120.0
2026-04-30,15055,-1216.0
2026-05-06,14759,-296.0
2026-05-07,14695,-64.0
2026-05-08,14679,-16.0
