date,receipt,change
2025-06-03,167520,-612.0
2025-06-04,166341,-1179.0
2025-06-05,166341,0.0
2025-06-06,162741,-3600.0
2025-06-09,169959,7218.0
2025-06-10,194139,24180.0
2025-06-11,207351,13212.0
2025-06-12,215559,8208.0
2025-06-13,257565,42006.0
2025-06-16,254559,-3006.0
2025-06-17,241773,-12786.0
2025-06-18,241773,0.0
2025-06-19,112404,-129369.0
2025-06-20,110412,-1992.0
2025-06-23,109800,-612.0
2025-06-24,109188,-612.0
2025-06-25,108468,-720.0
2025-06-26,107856,-612.0
2025-06-27,105066,-2790.0
2025-06-30,103302,-1764.0
2025-07-01,103284,-18.0
2025-07-02,103284,0.0
2025-07-03,99654,-3630.0
2025-07-04,99222,-432.0
2025-07-07,94272,-4950.0
2025-07-08,101715,7443.0
2025-07-09,108465,6750.0
2025-07-10,110805,2340.0
2025-07-11,129822,19017.0
2025-07-14,129570,-252.0
2025-07-15,125520,-4050.0
2025-07-16,122280,-3240.0
2025-07-17,92598,-29682.0
2025-07-18,92292,-306.0
2025-07-21,92256,-36.0
2025-07-22,92238,-18.0
2025-07-23,92238,0.0
2025-07-24,92238,0.0
2025-07-25,92220,-18.0
2025-07-28,30740,
2025-07-29,30740,
2025-07-30,29738,-1002.0
2025-07-31,29738,0.0
2025-08-01,27731,-2007.0
2025-08-04,27131,
2025-08-05,27131,0.0
2025-08-06,27131,
2025-08-07,33459,6328.0
2025-08-08,33459,0.0
2025-08-11,38457,4998.0
2025-08-12,40839,2382.0
2025-08-13,47163,6324.0
2025-08-14,45909,-1254.0
2025-08-15,44709,-1200.0
2025-08-18,41907,-2802.0
2025-08-19,37349,-4558.0
2025-08-20,36347,-1002.0
2025-08-21,33102,-3245.0
2025-08-22,30940,-2162.0
2025-08-25,30940,0.0
2025-08-26,30940,0.0
2025-08-27,30940,0.0
2025-08-28,29938,-1002.0
2025-08-29,29938,0.0
2025-09-01,29742,-196.0
2025-09-02,29742,0.0
2025-09-03,29742,0.0
2025-09-04,29538,-204.0
2025-09-05,19877,-9661.0
2025-09-08,16251,-3626.0
2025-09-09,14651,-1600.0
2025-09-10,11842,-2809.0
2025-09-11,11434,-408.0
2025-09-12,9893,-1541.0
2025-09-15,9893,0.0
2025-09-16,7889,-2004.0
2025-09-17,0,-7889.0
2025-09-18,0,0.0
2025-09-19,0,0.0
2025-09-22,27870,27870.0
2025-09-23,32114,4244.0
2025-09-24,32714,600.0
2025-09-25,32714,0.0
2025-09-26,32714,0.0
2025-09-29,28114,-4600.0
2025-09-30,29316,1202.0
2025-10-09,31920,2604.0
2025-10-10,32580,660.0
2025-10-13,32580,0.0
2025-10-14,33984,1404.0
2025-10-15,36978,2994.0
2025-10-16,36978,0.0
2025-10-17,38620,1642.0
2025-10-20,38620,0.0
2025-10-21,43732,5112.0
2025-10-22,45734,2002.0
2025-10-23,45734,0.0
2025-10-24,45734,0.0
2025-10-27,46736,1002.0
2025-10-28,48579,1843.0
2025-10-29,48579,0.0
2025-10-30,61295,12716.0
2025-10-31,62101,806.0
2025-11-03,64573,2472.0
2025-11-04,68977,4404.0
2025-11-05,69979,1002.0
2025-11-06,75888,5909.0
2025-11-07,89012,13124.0
2025-11-10,91046,2034.0
2025-11-11,93560,2514.0
2025-11-12,98450,4890.0
2025-11-13,103746,5296.0
2025-11-14,111696,7950.0
2026-01-28,103960,
2026-01-29,103558,-402.0
2026-01-30,103558,0.0
2026-02-02,103558,0.0
2026-02-03,103568,10.0
2026-02-04,103568,0.0
2026-02-05,103568,0.0
2026-02-06,103568,0.0
2026-02-09,104168,600.0
2026-02-10,106172,2004.0
2026-02-11,107036,864.0
2026-02-12,113252,6216.0
2026-02-13,113652,400.0
2026-02-24,113652,0.0
2026-02-25,113652,0.0
2026-02-26,112250,-1402.0
2026-02-27,126604,14354.0
2026-03-02,125134,-1470.0
2026-03-03,124720,-414.0
2026-03-04,125948,1228.0
2026-03-05,127214,1266.0
2026-03-06,128816,1602.0
2026-03-09,126482,-2334.0
2026-03-10,125282,-1200.0
2026-03-11,126068,786.0
2026-03-12,143618,17550.0
2026-03-13,143458,-160.0
2026-03-16,143458,0.0
2026-03-17,143458,0.0
2026-03-18,143452,-6.0
2026-03-19,143452,0.0
2026-03-20,146266,2814.0
2026-03-23,146188,-78.0
2026-03-24,147973,1785.0
2026-03-25,148915,942.0
2026-03-26,149479,564.0
2026-03-27,158681,9202.0
2026-03-30,159653,972.0
2026-03-31,159587,-66.0
2026-04-01,157273,-2314.0
2026-04-02,156925,-348.0
2026-04-03,153995,-2930.0
2026-04-07,167681,13686.0
2026-04-08,172739,5058.0
2026-04-09,180467,7728.0
2026-04-10,202214,21747.0
2026-04-13,201194,-1020.0
2026-04-14,197756,-3438.0
2026-04-15,203220,5464.0
2026-04-16,204219,999.0
2026-04-17,204123,-96.0
2026-04-20,203896,-227.0
2026-04-21,198188,-5708.0
2026-04-22,193261,-4927.0
2026-04-23,193421,160.0
2026-04-24,190961,-2460.0
2026-04-27,187165,-3796.0
2026-04-28,205102,17937.0
2026-04-29,204028,-1074.0
2026-04-30,204428,400.0
2026-05-06,202868,-1560.0
2026-05-07,201860,-1008.0
2026-05-08,200777,-1083.0
