date,receipt,change
2025-06-03,5025,0.0
2025-06-04,4128,-897.0
2025-06-05,6012,1884.0
2025-06-06,6012,0.0
2025-06-09,6234,222.0
2025-06-10,9225,2991.0
2025-06-11,9225,0.0
2025-06-12,15399,6174.0
2025-06-13,26916,11517.0
2025-06-16,29898,2982.0
2025-06-17,29364,-534.0
2025-06-18,29067,-297.0
2025-06-19,25785,-3282.0
2025-06-20,26229,444.0
2025-06-23,23157,-3072.0
2025-06-24,22413,-744.0
2025-06-25,21507,-906.0
2025-06-26,19419,-2088.0
2025-06-27,19116,-303.0
2025-06-30,21231,2115.0
2025-07-01,20472,-759.0
2025-07-02,19872,-600.0
2025-07-03,19797,-75.0
2025-07-04,21738,1941.0
2025-07-07,24213,2475.0
2025-07-08,23847,-366.0
2025-07-09,26850,3003.0
2025-07-10,26772,-78.0
2025-07-11,26619,-153.0
2025-07-14,27513,894.0
2025-07-15,33552,6039.0
2025-07-16,36483,2931.0
2025-07-17,34689,-1794.0
2025-07-18,34083,-606.0
2025-07-21,33264,-819.0
2025-07-22,36270,3006.0
2025-07-23,36270,0.0
2025-07-24,35820,-450.0
2025-07-25,39867,4047.0
2025-07-28,13767,
2025-07-29,15307,
2025-07-30,15232,-75.0
2025-07-31,15058,-174.0
2025-08-01,14982,-76.0
2025-08-04,14907,
2025-08-05,14807,-100.0
2025-08-06,14375,
2025-08-07,13822,-553.0
2025-08-08,14346,524.0
2025-08-11,15494,1148.0
2025-08-12,15768,274.0
2025-08-13,16192,424.0
2025-08-14,17097,905.0
2025-08-15,20020,2923.0
2025-08-18,32538,12518.0
2025-08-19,32538,0.0
2025-08-20,32288,-250.0
2025-08-21,32288,0.0
2025-08-22,32791,503.0
2025-08-25,35194,2403.0
2025-08-26,36366,1172.0
2025-08-27,36213,-153.0
2025-08-28,36037,-176.0
2025-08-29,37957,1920.0
2025-09-01,37957,0.0
2025-09-02,38955,998.0
2025-09-03,40947,1992.0
2025-09-04,40896,-51.0
2025-09-05,40772,-124.0
2025-09-08,42707,1935.0
2025-09-09,42681,-26.0
2025-09-10,44329,1648.0
2025-09-11,44925,596.0
2025-09-12,45905,980.0
2025-09-15,51371,5466.0
2025-09-16,52170,799.0
2025-09-17,52720,550.0
2025-09-18,54241,1521.0
2025-09-19,52531,-1710.0
2025-09-22,55054,2523.0
2025-09-23,56613,1559.0
2025-09-24,57357,744.0
2025-09-25,56583,-774.0
2025-09-26,57573,990.0
2025-09-29,59264,1691.0
2025-09-30,57221,-2043.0
2025-10-09,58867,1646.0
2025-10-10,60644,1777.0
2025-10-13,59614,-1030.0
2025-10-14,58494,-1120.0
2025-10-15,65666,7172.0
2025-10-16,67466,1800.0
2025-10-17,67317,-149.0
2025-10-20,66419,-898.0
2025-10-21,66268,-151.0
2025-10-22,65209,-1059.0
2025-10-23,65529,320.0
2025-10-24,65849,320.0
2025-10-27,65724,-125.0
2025-10-28,68271,2547.0
2025-10-29,67424,-847.0
2025-10-30,67124,-300.0
2025-10-31,67774,650.0
2025-11-03,67649,-125.0
2025-11-04,68197,548.0
2025-11-05,68423,226.0
2025-11-06,68022,-401.0
2025-11-07,69268,1246.0
2025-11-10,69869,601.0
2025-11-11,70518,649.0
2025-11-12,70890,372.0
2025-11-13,72152,1262.0
2025-11-14,71753,-399.0
2026-01-28,28341,
2026-01-29,28241,-100.0
2026-01-30,28468,227.0
2026-02-02,28767,299.0
2026-02-03,28867,100.0
2026-02-04,29966,1099.0
2026-02-05,30490,524.0
2026-02-06,31088,598.0
2026-02-09,31264,176.0
2026-02-10,34235,2971.0
2026-02-11,42335,8100.0
2026-02-12,43060,725.0
2026-02-13,45693,2633.0
2026-02-24,60224,14531.0
2026-02-25,65319,5095.0
2026-02-26,65572,253.0
2026-02-27,69665,4093.0
2026-03-02,70738,1073.0
2026-03-03,73097,2359.0
2026-03-04,74702,1605.0
2026-03-05,75846,1144.0
2026-03-06,76450,604.0
2026-03-09,76349,-101.0
2026-03-10,78444,2095.0
2026-03-11,81073,2629.0
2026-03-12,85695,4622.0
2026-03-13,86093,398.0
2026-03-16,98096,12003.0
2026-03-17,98670,574.0
2026-03-18,101263,2593.0
2026-03-19,102604,1341.0
2026-03-20,102509,-95.0
2026-03-23,100598,-1911.0
2026-03-24,99824,-774.0
2026-03-25,98470,-1354.0
2026-03-26,97392,-1078.0
2026-03-27,95760,-1632.0
2026-03-30,94909,-851.0
2026-03-31,94803,-106.0
2026-04-01,93546,-1257.0
2026-04-02,93977,431.0
2026-04-03,93046,-931.0
2026-04-07,93366,320.0
2026-04-08,92240,-1126.0
2026-04-09,91170,-1070.0
2026-04-10,95863,4693.0
2026-04-13,96490,627.0
2026-04-14,97282,792.0
2026-04-15,101645,4363.0
2026-04-16,103249,1604.0
2026-04-17,102674,-575.0
2026-04-20,101822,-852.0
2026-04-21,101269,-553.0
2026-04-22,101019,-250.0
2026-04-23,101021,2.0
2026-04-24,100446,-575.0
2026-04-27,101638,1192.0
2026-04-28,102815,1177.0
2026-04-29,102016,-799.0
2026-04-30,101163,-853.0
2026-05-06,101120,-43.0
2026-05-07,100247,-873.0
2026-05-08,100880,633.0
