时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2023-09-15,10000.0,10050.0,9410.0,9468.0,235242,30735,9468.0,9468.0,9468.0,9468.0,0.0,0.0,0.0,0.0,640.0,0.0,235242.0,0,30735.0,0.0,0.0
2023-09-18,9450.0,9468.0,9290.0,9346.0,123567,35656,9407.0,9407.0,9407.0,9407.0,-9.732193732192172,-1.9464387464384345,-7.785754985753738,0.0,409.0,-35.35533905932726,179404.5,-123567,33195.5,4921.0,16.011062306816328
2023-09-19,9370.0,9436.0,9290.0,9326.0,98362,38861,9380.0,9380.0,9380.0,9380.0,-18.841665246223783,-5.325484046395505,-13.516181199828278,0.0,321.3333333333333,-31.47239304254219,152390.33333333334,-221929,35084.0,3205.0,8.988669508638104
2023-09-20,9358.0,9564.0,9254.0,9310.0,217136,47627,9362.5,9362.5,9362.5,9362.5,-27.040349022216105,-9.668457041559625,-17.37189198065648,0.0,318.5,-20.93940694389649,168576.75,-439065,38219.75,8766.0,22.557319677826104
2023-09-21,9344.0,9346.0,9132.0,9134.0,100829,45964,9316.8,9316.8,9316.8,9316.8,-47.19555313135788,-17.173876259519275,-30.021676871838608,0.0,297.6,-58.08219951675754,155027.2,-539894,39768.6,-1663.0,-3.4917168832804935
2023-09-22,9172.0,9280.0,9162.0,9218.0,85025,42487,9266.8,9300.333333333334,9300.333333333334,9300.333333333334,-55.74797169970407,-24.888695347556236,-30.85927635214783,20.09569377990431,272.3333333333333,-44.476994674289365,143360.16666666666,-454869,40221.666666666664,-3477.0,-7.564615786267515
2023-09-25,9254.0,9300.0,9066.0,9130.0,85762,42236,9223.6,9276.0,9276.0,9276.0,-68.83322303729801,-33.677600885504596,-35.155622151793416,16.600790513834,266.85714285714283,-51.66712513348497,135131.85714285713,-540631,40509.42857142857,-251.0,-0.5907689410878603
2023-09-26,9120.0,9130.0,8890.0,8930.0,81098,46773,9144.4,9232.75,9232.75,9232.75,-94.2551923412575,-45.79311917665518,-48.462073164602316,11.898016997167133,263.5,-78.72281587256036,128377.625,-621729,41292.375,4537.0,10.742021024718241
2023-09-27,8950.0,9040.0,8912.0,8980.0,48233,41127,9078.4,9204.666666666666,9204.666666666666,9204.666666666666,-109.10995242451463,-58.45648582622707,-50.65346659828756,17.724867724867735,248.44444444444446,-66.2084189050899,119472.66666666667,-573496,41274.0,-5646.0,-12.071066641010841
2023-09-28,9018.0,9166.0,8968.0,9006.0,60168,33209,9052.8,9184.8,9184.8,9184.8,-117.43080488376836,-70.25134963773533,-47.17945524603303,20.46035805626599,243.4,-44.94693812943844,113542.2,-513328,40467.5,-7918.0,-19.252559146059767
2023-10-09,8746.0,8826.0,8586.0,8620.0,53455,43936,8933.2,9100.0,9133.454545454546,9133.454545454546,-153.40377128479304,-86.88183396714687,-66.52193731764616,13.698630136986296,259.45454545454544,-97.68869078410931,108079.72727272728,-566783,40782.818181818184,10727.0,32.30148453732422
2023-10-10,8640.0,8650.0,8488.0,8500.0,52618,47778,8807.2,9015.4,9080.666666666666,9080.666666666666,-189.41217776668054,-107.38790272705361,-82.02427503962693,12.422360248447205,251.33333333333334,-94.87252547688325,103457.91666666667,-619401,41365.75,3842.0,8.744537509104156
2023-10-11,8506.0,8526.0,8404.0,8458.0,74368,53859,8712.8,8928.6,9032.76923076923,9032.76923076923,-218.81577626084618,-129.67347743381214,-89.14229882703404,12.030075187969928,241.3846153846154,-88.5132494251349,101220.23076923077,-693769,42326.769230769234,6081.0,12.727615220394316
2023-10-12,8438.0,8462.0,8292.0,8390.0,83094,60530,8594.8,8836.6,8986.857142857143,8986.857142857143,-244.78365797267725,-152.69551354158517,-92.08814443109208,11.444921316165946,236.28571428571428,-84.58922852781915,99925.5,-776863,43627.0,6671.0,12.386045043539617
2023-10-13,8436.0,8486.0,8316.0,8404.0,91310,62214,8474.4,8763.6,8948.0,8948.0,-261.2224979694365,-174.40091042715545,-86.82158754228107,12.322946175637398,202.71428571428572,-72.62896983523488,99351.13333333333,-685553,44866.13333333333,1684.0,2.7820915248637057
2023-10-16,8502.0,8518.0,8402.0,8444.0,90508,63872,8439.2,8686.2,8916.5,8916.5,-267.9341532606941,-193.1075589938632,-74.82659426683088,16.09022556390977,198.28571428571428,-60.681604318091644,98798.4375,-595045,46054.0,1658.0,2.6649950171987014
