date,symbol,close,volume,open_interest,roll_yield
20251127,PD2606,370.6,32203,2594,-0.03237992444684323
20251127,PD2608,368.6,1674,99,0.025230602278892178
20251127,PD2610,370.15,274,52,0.0
20251128,PD2606,371.55,10888,2550,0.008881711748082832
20251128,PD2608,372.1,41,94,0.016930932545013544
20251128,PD2610,373.15,14,53,0.0
20251201,PD2606,382.35,22034,3028,-0.0023538642604949978
20251201,PD2608,382.2,127,90,0.019623233908947935
20251201,PD2610,383.45,88,59,0.0
20251202,PD2606,374.25,9411,3206,-0.008016032064128042
20251202,PD2608,373.75,109,95,0.03290969899665619
20251202,PD2610,375.8,49,66,0.0
20251203,PD2606,381.5,14894,3089,-0.013368283093054378
20251203,PD2608,380.65,109,93,0.02364376724024675
20251203,PD2610,382.15,19,61,0.0
20251204,PD2606,379.25,6942,3179,0.018984838497032808
20251204,PD2608,380.45,33,96,0.022079116835327373
20251204,PD2610,381.85,14,61,0.0
20251205,PD2606,381.75,4637,3201,0.0055009823182721185
20251205,PD2608,382.1,42,80,-0.0015702695629422614
20251205,PD2610,382.0,11,66,0.0
20251208,PD2606,383.7,4963,3409,0.010164190774042403
20251208,PD2608,384.35,81,90,0.03434369715103447
20251208,PD2610,386.55,17,68,0.0
20251209,PD2606,380.45,5947,3423,0.024444736496254116
20251209,PD2608,382.0,25,91,0.021204188481675157
20251209,PD2610,383.35,9,71,0.0
20251210,PD2606,387.65,5855,3352,0.005417257835677258
20251210,PD2608,388.0,37,90,0.029381443298968968
20251210,PD2610,389.9,18,64,0.0
20251211,PD2606,385.25,4428,3475,-0.009344581440623445
20251211,PD2608,384.65,48,93,0.04523592876641169
20251211,PD2610,387.55,30,61,0.0
20251212,PD2606,389.45,5130,3463,0.02773141609962737
20251212,PD2608,391.25,48,94,0.009201277955271259
20251212,PD2610,391.85,26,63,0.0
20251215,PD2606,407.6,30669,5562,0.030176643768399902
20251215,PD2608,409.65,116,136,0.019040644452581468
20251215,PD2610,410.95,50,71,-0.09636208784523648
20251215,PD2612,404.35,0,0,0.0
20251216,PD2606,423.85,52938,7003,0.016279344107585025
20251216,PD2608,425.0,1602,430,0.026117647058824023
20251216,PD2610,426.85,275,145,0.009839522080355323
20251216,PD2612,427.55,71,56,0.0
20251217,PD2606,455.15,56577,9123,0.011205097220696292
20251217,PD2608,456.0,1147,600,0.0013157894736850473
20251217,PD2610,456.1,394,222,-0.01512826134619627
20251217,PD2612,454.95,70,91,0.0
20251218,PD2606,476.6,68166,12754,0.006924045321023531
20251218,PD2608,477.15,1301,786,0.03206538824269156
20251218,PD2610,479.7,551,212,0.01626016260162677
20251218,PD2612,481.0,102,98,0.0
20251219,PD2606,480.2,106821,14011,0.02311536859641894
20251219,PD2608,482.05,1105,808,0.013691525775334501
20251219,PD2610,483.15,422,260,0.029183483390251563
20251219,PD2612,485.5,119,142,0.0
20251222,PD2606,508.45,27033,16289,0.012390598878946335
20251222,PD2608,509.5,1036,976,0.01354268891069621
20251222,PD2610,510.65,165,272,-0.011162244198570148
20251222,PD2612,509.7,93,162,0.0
20251223,PD2606,532.55,176709,21159,0.002253309548399418
20251223,PD2608,532.75,3642,967,0.027592679493196215
20251223,PD2610,535.2,1387,458,0.0868834080717491
20251223,PD2612,542.95,356,221,0.0
20251224,PD2606,578.45,98824,24209,0.012447056789695488
20251224,PD2608,579.65,2722,1091,0.031053221771758288
20251224,PD2610,582.65,894,450,0.01802111044366317
20251224,PD2612,584.4,418,179,0.0
20251225,PD2606,529.05,93335,21661,0.011341083073433289
20251225,PD2608,530.05,3908,1330,0.05603244976888977
20251225,PD2610,535.0,2449,662,0.003925233644860526
20251225,PD2612,535.35,601,209,0.0
20251226,PD2606,515.65,155990,27313,0.004072529816736115
20251226,PD2608,516.0,4777,2080,0.06976744186046524
20251226,PD2610,522.0,1401,989,0.0005747126436776995
20251226,PD2612,522.05,588,393,0.0
20251229,PD2606,494.1,67638,25772,0.04978749241044245
20251229,PD2608,498.2,2653,2371,0.08370132476916847
20251229,PD2610,505.15,1305,1290,0.0522617044442244
20251229,PD2612,509.55,471,553,0.0
20251230,PD2606,447.45,40695,20169,-0.000670465973851897
20251230,PD2608,447.4,2730,1766,0.08314707197139093
20251230,PD2610,453.6,988,1025,0.058862433862433505
20251230,PD2612,458.05,385,445,0.0
20251231,PD2606,425.2,81439,14405,0.03809971777986787
20251231,PD2608,427.9,2679,1454,0.061696658097686985
20251231,PD2610,432.3,995,917,0.15405968077723786
20251231,PD2612,443.4,386,426,0.0
20260105,PD2606,452.85,32771,13573,0.013911891354752015
20260105,PD2608,453.9,668,1411,0.060806345009914775
20260105,PD2610,458.5,196,931,0.02617230098146095
20260105,PD2612,460.5,98,441,0.0
20260106,PD2606,471.9,34797,13788,0.005085823267641398
20260106,PD2608,472.3,862,1258,0.04763921236502178
20260106,PD2610,476.05,269,820,0.024577250288835728
20260106,PD2612,478.0,101,467,0.0
20260107,PD2606,475.95,43383,12618,-0.03529782540182791
20260107,PD2608,473.15,641,1232,0.09066892106097502
20260107,PD2610,480.3,149,805,-0.04247345409119352
20260107,PD2612,476.9,65,451,0.0
20260108,PD2606,460.7,35013,12705,0.026698502279141056
20260108,PD2608,462.75,540,1221,0.07455429497568922
20260108,PD2610,468.5,102,787,0.03842049092849509
20260108,PD2612,471.5,69,453,0.0
20260109,PD2606,499.05,39184,12960,-0.012623985572588037
20260109,PD2608,498.0,868,991,0.017469879518072773
20260109,PD2610,499.45,248,654,0.11712884172589799
20260109,PD2612,509.2,113,419,0.0
20260112,PD2606,505.1,23563,13222,0.029697089685210898
20260112,PD2608,507.6,405,959,0.03191489361702082
20260112,PD2610,510.3,141,651,0.03174603174603208
20260112,PD2612,513.0,69,431,0.0
20260113,PD2606,483.25,21838,13122,0.021727884117951568
20260113,PD2608,485.0,303,997,0.021030927835052005
20260113,PD2610,486.7,90,651,0.053010067803575645
20260113,PD2612,491.0,31,434,0.0
20260114,PD2606,495.5,18835,12680,0.013925327951563204
20260114,PD2608,496.65,596,1182,0.05617638175777717
20260114,PD2610,501.3,196,707,-0.01555954518252567
20260114,PD2612,500.0,43,453,0.0
20260115,PD2606,478.6,15278,12809,0.016924362724612507
20260115,PD2608,479.95,313,1239,0.05125533909782254
20260115,PD2610,484.05,82,716,0.07375271149674667
20260115,PD2612,490.0,26,462,0.0
20260116,PD2606,469.35,12825,12562,0.03899009268136755
20260116,PD2608,472.4,292,1244,0.021591871295513432
20260116,PD2610,474.1,84,722,0.0025311115798354322
20260116,PD2612,474.3,39,466,0.0
20260119,PD2606,477.95,5992,12304,0.02699027094884432
20260119,PD2608,480.1,219,1209,0.04374088731514281
20260119,PD2610,483.6,46,713,0.042183622828784184
20260119,PD2612,487.0,24,471,0.0
20260120,PD2606,490.0,10757,11572,-0.030000000000000027
20260120,PD2608,487.55,193,1205,0.002461286021946396
20260120,PD2610,487.75,48,704,-0.019682214249103103
20260120,PD2612,486.15,17,465,0.0
20260121,PD2606,485.8,7777,11557,0.044462741869081945
20260121,PD2608,489.4,101,1195,0.1176951369023298
20260121,PD2610,499.0,33,699,-0.0024048096192386126
20260121,PD2612,498.8,21,472,0.0
20260122,PD2606,483.75,6442,11538,0.03534883720930271
20260122,PD2608,486.6,66,1209,0.034525277435264456
20260122,PD2610,489.4,24,696,0.013485901103391651
20260122,PD2612,490.5,16,475,0.0
20260123,PD2606,497.95,11027,11348,0.019881514208254458
20260123,PD2608,499.6,292,1155,0.016813450760608806
20260123,PD2610,501.0,42,687,0.06107784431137686
20260123,PD2612,506.1,48,475,0.0
20260126,PD2606,534.8,17715,11243,0.006731488406881869
20260126,PD2608,535.4,441,1257,0.029137093761674393
20260126,PD2610,538.0,104,660,0.0
20260126,PD2612,538.0,108,459,0.0
20260127,PD2606,523.0,12114,10952,0.009751434034416473
20260127,PD2608,523.85,617,1372,0.05096878877541222
20260127,PD2610,528.3,72,671,0.01930721181147188
20260127,PD2612,530.0,47,458,0.0
20260128,PD2606,504.0,13268,11904,-0.011904761904761862
20260128,PD2608,503.0,665,1114,0.04711729622266425
20260128,PD2610,506.95,291,626,0.09527566821185518
20260128,PD2612,515.0,67,426,0.0
20260129,PD2606,526.6,16911,11135,-0.0524116976832516
20260129,PD2608,522.0,575,1019,0.029885057471264354
20260129,PD2610,524.6,301,576,-0.0314525352649635
20260129,PD2612,521.85,101,403,0.0
20260130,PD2606,464.05,19151,10574,-0.11701325288223274
20260130,PD2608,455.0,503,1062,0.05274725274725256
20260130,PD2610,459.0,267,558,-0.05294117647058871
20260130,PD2612,454.95,84,421,0.0
20260202,PD2606,413.7,4204,10160,-0.0449601160261055
20260202,PD2608,410.6,452,1117,-0.05187530443253796
20260202,PD2610,407.05,121,558,0.0014740203906153937
20260202,PD2612,407.15,70,406,0.0
20260203,PD2606,450.55,15449,9725,-0.08056819442903151
20260203,PD2608,444.5,313,1050,-0.16535433070866112
20260203,PD2610,432.25,199,530,0.010410641989589742
20260203,PD2612,433.0,87,410,0.0
20260204,PD2606,461.0,9064,9178,-0.055314533622559336
20260204,PD2608,456.75,202,1007,-0.08078817733990085
20260204,PD2610,450.6,70,518,-0.1011984021304928
20260204,PD2612,443.0,34,423,0.0
20260205,PD2606,442.7,13043,8591,-0.09555003388299088
20260205,PD2608,435.65,412,1059,-0.1563181453001259
20260205,PD2610,424.3,231,491,0.12302616073532846
20260205,PD2612,433.0,175,317,0.0
20260206,PD2606,410.5,12296,8062,-0.02996345919610266
20260206,PD2608,408.45,392,1101,-0.042600073448402
20260206,PD2610,405.55,177,482,0.008876833929231331
20260206,PD2612,406.15,103,276,0.0
20260209,PD2606,438.15,6013,8082,-0.07052379322149926
20260209,PD2608,433.0,59,1073,0.04295612009237848
20260209,PD2610,436.1,49,483,0.004127493694105588
20260209,PD2612,436.4,30,280,0.0
20260210,PD2606,429.05,3046,7843,0.0132851648991954
20260210,PD2608,430.0,31,1069,-0.08162790697674449
20260210,PD2610,424.15,15,482,-0.0028291877873394267
20260210,PD2612,423.95,7,279,0.0
20260211,PD2606,439.1,2850,7629,-0.04235937144158508
20260211,PD2608,436.0,57,1052,-0.07362385321100962
20260211,PD2610,430.65,47,460,0.004876349703935912
20260211,PD2612,431.0,18,273,0.0
20260212,PD2606,430.05,2978,7351,0.0
20260212,PD2608,430.05,66,1024,-0.032786885245901676
20260212,PD2610,427.7,39,461,0.006312836100069497
20260212,PD2612,428.15,51,267,0.0
20260213,PD2606,416.8,3225,7188,-0.09788867562380044
20260213,PD2608,410.0,57,1005,-0.012439024390243913
20260213,PD2610,409.15,93,487,0.08578760845655653
20260213,PD2612,415.0,160,294,0.0
20260224,PD2606,438.45,3410,7285,-0.047211768730756054
20260224,PD2608,435.0,70,1006,0.0034482758620688614
20260224,PD2610,435.25,16,487,0.013785180930500296
20260224,PD2612,436.25,6,292,-0.003896848137535821
20260224,PD2702,423.5,0,0,0.0
20260225,PD2606,457.95,4461,7493,-0.04192597445135915
20260225,PD2608,454.75,103,1007,0.0032985156679496974
20260225,PD2610,455.0,47,474,-0.16021978021977978
20260225,PD2612,442.85,39,268,-0.0010688344435662986
20260225,PD2702,439.3,0,0,0.0
20260226,PD2606,446.55,3300,7302,-0.0073899899227414245
20260226,PD2608,446.0,210,926,-0.04035874439461895
20260226,PD2610,443.0,19,470,0.05553047404063216
20260226,PD2612,447.1,10,263,-0.002326101543278917
20260226,PD2702,439.3,0,0,0.0
20260227,PD2606,464.85,4636,7355,-0.08196192320103313
20260227,PD2608,458.5,84,900,-0.0065430752453652374
20260227,PD2610,458.0,27,471,-0.07860262008733643
20260227,PD2612,452.0,3,264,-0.0009292035398229981
20260227,PD2702,448.85,0,0,0.0
20260302,PD2606,463.65,5432,7544,-0.05823358136525414
20260302,PD2608,459.15,98,918,-0.061417837308069156
20260302,PD2610,454.45,14,473,-0.002640554516448068
20260302,PD2612,454.25,8,263,-0.0015850302696752768
20260302,PD2702,448.85,0,0,0.0
20260303,PD2606,433.9,4938,7256,-0.024199124222171076
20260303,PD2608,432.15,74,893,-0.01666088163831958
20260303,PD2610,430.95,45,472,0.06265227984685007
20260303,PD2612,435.45,20,265,0.0013166456156466387
20260303,PD2702,439.75,0,0,0.0
20260304,PD2606,433.8,3441,7410,-0.08644536652835377
20260304,PD2608,427.55,37,899,-0.0063150508712432885
20260304,PD2610,427.1,23,471,0.1292437368297823
20260304,PD2612,436.3,14,266,0.00015280006112001015
20260304,PD2702,436.8,7,5,0.0
