date,symbol,close,volume,open_interest,roll_yield
20251127,PT2606,430.3,62345,6744,0.003485940041831892
20251127,PT2608,430.55,3618,582,0.019509929160376416
20251127,PT2610,431.95,699,224,0.0
20251128,PT2606,435.55,23948,8048,0.009642980140052604
20251128,PT2608,436.25,500,643,0.020630372492837168
20251128,PT2610,437.75,201,235,0.0
20251201,PT2606,451.6,44391,10624,-0.0039858281665194895
20251201,PT2608,451.3,1100,899,0.03589629957899376
20251201,PT2610,454.0,457,327,0.0
20251202,PT2606,442.5,20751,10493,-0.013559322033898313
20251202,PT2608,441.5,1073,1138,0.014269535673838707
20251202,PT2610,442.55,747,634,0.0
20251203,PT2606,440.55,18148,10664,-0.021790943139258223
20251203,PT2608,438.95,527,1242,0.023237270759767892
20251203,PT2610,440.65,331,768,0.0
20251204,PT2606,439.65,10934,10387,-0.0116001364721936
20251204,PT2608,438.8,154,1244,0.030082041932542936
20251204,PT2610,441.0,108,760,0.0
20251205,PT2606,442.3,8194,10524,-0.014921998643455225
20251205,PT2608,441.2,211,1217,0.029238440616501382
20251205,PT2610,443.35,103,769,0.0
20251208,PT2606,443.2,9834,10877,-0.015568592057761288
20251208,PT2608,442.05,130,1210,0.021717000339327885
20251208,PT2610,443.65,77,778,0.0
20251209,PT2606,436.4,10108,10806,-0.007561869844179059
20251209,PT2608,435.85,233,1228,0.027532407938510417
20251209,PT2610,437.85,119,808,0.0
20251210,PT2606,444.45,10263,10091,-0.026324670941613393
20251210,PT2608,442.5,300,1267,0.031186440677966054
20251210,PT2610,444.8,124,803,0.0
20251211,PT2606,442.4,7324,10349,-0.017631103074140286
20251211,PT2608,441.1,260,1272,0.017683065064610037
20251211,PT2610,442.4,187,730,0.0
20251212,PT2606,452.05,12412,11170,-0.03251852671164657
20251212,PT2608,449.6,441,1259,0.018683274021352503
20251212,PT2610,451.0,198,734,0.0
20251215,PT2606,482.4,41832,17844,-0.0379353233830837
20251215,PT2608,479.35,1629,1543,0.015646187545634405
20251215,PT2610,480.6,361,716,0.06741573033707882
20251215,PT2612,486.0,150,115,0.0
20251216,PT2606,485.75,92961,21372,-0.0265568708183217
20251216,PT2608,483.6,3239,1969,0.0334987593052114
20251216,PT2610,486.3,1237,1053,0.011721159777914547
20251216,PT2612,487.25,478,256,0.0
20251217,PT2606,527.55,93342,27001,-0.04719931760022744
20251217,PT2608,523.4,3001,2293,0.02865876958349256
20251217,PT2610,525.9,1205,1181,0.011979463776383703
20251217,PT2612,526.95,248,241,0.0
20251218,PT2606,542.6,148823,31548,0.0005528934758558535
20251218,PT2608,542.65,3563,2605,0.023219386344789594
20251218,PT2610,544.75,2025,1449,0.024782010096374485
20251218,PT2612,547.0,448,362,0.0
20251219,PT2606,533.55,149426,33474,0.011807703120608082
20251219,PT2608,534.6,2782,2846,0.025813692480358696
20251219,PT2610,536.9,1405,1355,0.018997951201341845
20251219,PT2612,538.6,298,412,0.0
20251222,PT2606,568.45,52413,36318,0.0026387545078718766
20251222,PT2608,568.7,1282,2874,0.02268331281870939
20251222,PT2610,570.85,436,1426,0.027327669265131416
20251222,PT2612,573.45,175,469,0.0
20251223,PT2606,619.95,146122,38913,0.005806919912895392
20251223,PT2608,620.55,5423,3213,0.017403915881073484
20251223,PT2610,622.35,2953,1629,0.02603036876355702
20251223,PT2612,625.05,915,677,0.0
20251224,PT2606,657.65,15803,39147,0.00912339390253214
20251224,PT2608,658.65,2737,4265,0.31382373035754974
20251224,PT2610,693.1,7602,3925,-0.25277737700187597
20251224,PT2612,663.9,422,677,0.0
20251225,PT2606,686.95,212434,40666,0.013538103209839836
20251225,PT2608,688.5,7094,4212,0.016122004357299158
20251225,PT2610,690.35,7447,3022,0.003911059607444756
20251225,PT2612,690.8,691,832,0.0
20251226,PT2606,705.3,93934,43198,-0.00723096554657543
20251226,PT2608,704.45,6780,4472,0.028958762154872808
20251226,PT2610,707.85,6693,3221,-0.025852934943844774
20251226,PT2612,704.8,2468,1374,0.0
20251229,PT2606,634.35,126019,41795,0.014660676282808538
20251229,PT2608,635.9,7030,4768,-0.0037741783299261034
20251229,PT2610,635.5,4108,3543,0.018882769472856165
20251229,PT2612,637.5,815,1430,0.0
